SPANISH	Selected_Proto4	score	PORTUGUESE	ITALIAN	FRENCH	Selected_Proto5	ROMANIAN	LATIN-CORRECT	Selected_Proto1	Selected_Proto2	Selected_Proto3	final_proposed_protoform
-		-2.850422093749666	-	-	fløv		fluviw	flʊwɪʊm	fløviw	fluviw		ffløiw
oɣeɾa	fokaeɾɐ	-5.647308532667025	fuɡeɪɾɐ	fokaia	fwaje	fokaeaɐ	fokar	fɔkarɪʊm	fokaraɐ	fokaiaɐ	fokarɾɐ	fokara
foðeɾ	foiʁɾ	-2.963410716760036	-	-	fwiʁ	fwðeɾ	-	fɔdɛrɛ	fwiʁɾ	fwieɾ	fwðʁɾ	fwðiɾ
-		-1.4094379124341003	-	fedifraɡo	-		-	fɔɪdɪfraɡʊm	fedifraɡo			fedifraɡʊm
feo	feoʊ	-2.588728524744326	feɪʊ	fedo	-	fedʊ	-	fɔɪdʊs	fedo	feɪo	feoo	feʊm
oxoso	foʎooo	-3.9777483504986932	fuʎozʊ	foʎozo	-	foʎozʊ	fojos	fɔlɪosʊm	foʎoso	foʎozo	foʎosʊ	foʎosʊm
olɣaɾ	ɨnfuaeka	-3.8418784697269075	fulɡaɹ	-	-	ɨnfuɾɹka	ɨnfuleka	fɔllɪkarɛ	ɨnfuleka	ɨnfulɹka	ɨnfuɾeka	ɨnfulɹkam
oʎexo	foltʃyllo	-4.423081391604302	-	follikolo	fɔlikyl	foltkyllo	foltʃel	fɔllɪkʊlʊm	foltʃello	foltkello	foltʃkllo	foltkylʊm
fomɛnto	fomenŋoʊ	-2.2210037446190087	fumeɪŋtʊ	fomento	-	fomeɪtoʊ	-	fomɛntʊm	fomentoʊ	fomɛntoʊ	fomenttʊ	faʊmentʊm
fwɛnte	foɛtte	-4.651308283124672	foŋtɨ	fonte	fɔ̃	foɛtee	-	fɔntɛm	fontɨe	fontee	fontte	fonta
ontana	fɨttnna	-4.40404663341879	fuŋtɐ̃nɐ	fontana	fɔ̃tɛn	fɨttnnə	fɨntɨnə	fɔntanam	fɨntnna	fɨntnnə	fɨntnnɐ	funtnna
-		-1.3568932485848133	-	forɛnse	-		-	fɔrensɛm	forɛnse			forɛnsa
-	ffaʁɾɐ	-3.1490711748195057	ʃfoɪɾɐ	-	fwaʁ	fwoɪɾɐ	-	fɔrɪam	fwaʁɾɐ	fwaɪɾɐ	fwoʁɾɐ	fwaʁɐ
oɾma	fɔrmaɐ	-4.2636706237143915	fɔɾəmɐ	forma	fɔʁm	fɔrməɐ	formə	formam	formaɐ	forməɐ	formmɐ	fɔrma
foɾmaxe	foomadʒʒo	-3.8078723256008877	-	formadʒʒo	fʁomaʒ	foomaʒʒʒo	-	formatɪkʊm	foomadeʒo	foomaxʒʒo	foomaʒeʒo	foʊmmaxʒʊm
-	furnikaaɹ	-3.101736522030572	fuɾəmiɡaɹ	-	fuʁmije	furnijaaɹ	furnika	fɔrmikarɛ	furnikeaɹ	furnikɡaɹ	furnijeaɹ	furnikɡa
-		-1.6094379124341003	-	formikola	-		-	fɔrmikʊlam	formikola			formikola
-		-2.143339464109782	fuɾəmidulozʊ	-	-		-	fɔrmidʊlosʊm	fuɾəmidulozʊ			fuɾəmidulozʊ
eɾmoso	frumoozʊ	-5.8951913237782945	fuɾəmozʊ	formozo	fɔʁmø	frʁmoozʊ	frumos	formosʊm	frumoooʊ	frʁmoooʊ	frrmoooʊ	frumʊmoʊm
-	fornakʎia	-2.444191327623705	fuɾənaʎɐ	fornakkia	-	fornaakia	-	fɔrnakʊlam	fornakʎɐa	fornakkia	fornakkɐa	faʊrnaʎɐa
oɾnatʃo	fuʁnɛʃʃe	-3.4410537107840162	-	fornatʃe	fuʁnɛz	fuʁnɛzoe	-	fɔrnakɛm	fuʁnɛtʃe	fuʁnɛzʃe	fuʁnɛtoe	fuʁnɛtʃa
-	fɔrnikatœʁe	-2.1491051086289383	-	fornikatore	fɔʁnikatœʁ	fɔʁnikatore	-	fɔrnɪkatorɛm	fɔʁnikatœʁe	fɔʁnikatœre	fɔʁnikatoʁe	fɔʁnikatra
foɾnikaɾ	foɾnikarɹ	-3.545131906051406	fuɾənikaɹ	fornikare	fɔʁnike	foɾnikaae	-	fɔrnɪkari	foɾnikaɾe	foɾnikaɾɹ	foɾnikare	faʊɾnikaa
foɾniks	foɾəiksɨ	-2.8090807535932245	fɔɾənisɨ	-	-	foɾnnisɨ	-	fɔrnɪkɛm	foɾniksɨ	foɾniisɨ	foɾnnksɨ	fʊmɾniis
oɾaðaɾ	foʁare	-4.807884728710726	fuɾaɹ	forare	foʁe	foʁarɾ	-	fɔrarɛ	foʁaae	foʁaɹe	foʁaaɾ	fʊmʁaa
foɾtifikaɾ	fortifikarɹ	-3.32919259626215	fuɾətifikaɹ	fortifikare	fɔʁtifje	fortifikaae	fortifika	fɔrtɪfɪkarɛ	fortifikare	fortifikaɾe	fortifikaɾɹ	fʊmrtifikaa
fweɾte	fɔaəte	-4.460987065672581	fɔɾətɨ	fɔrte	fɔʁ	fɔatte	fɔarte	fɔrtɛm	fɔarte	fɔʁrte	fɔaɾte	fɔʁrte
foɾtitud	fortitudine	-2.8556753095210246	-	fortitudine	fɔʁtityd	fortitydine	-	fɔrtɪtudɪnɛm	foʁtitudine	foɾtitudine	foʁtitydine	fortitudna
foɾtwito	fɔɾtwito	-1.8860118931682301	-	fɔrtuito	-	fortuito	-	fɔrtʊitʊm	fɔrtuito	fɔrtwito	fɔɾtuito	fɔrtwitʊm
foɾo	foʁo	-5.797195221816966	fɔɾʊ	foro	fɔʁ	foɾʊ	for	fɔrʊm	foro	foɾo	forʊ	foɾʊm
wesa	fɔsaa	-3.5442399697717626	fɔsɐ	fɔssa	fɔs	fosəa	fosə	fɔssam	fɔsəa	fɔsɐa	fɔssa	fɔsa
fosaðo	foseðto	-3.772002766749119	-	fossato	fɔse	foseðoo	sat	fɔssatʊm	foseato	fossato	foseaoo	fʊmsatʊm
-		-1.2094379124341001	-	fiɔsso	-		-	fɔssʊlam	fiɔsso			flɔxʊm
-		-2.075141078167106	-	-	foveal		-	fɔwɛalɛm	foveal			favaal
fɾaɣoso		-1.7068932485848132	-	-	-		-	fraɡosʊm	fɾaɣoso			fɾaɣʊmsʊm
-		-1.9635885922613585	ʃeɪɾaɹ	-	-		-	fraɡrarɛ	ʃeɪɾaɹ			ʃeɪɾaɹ
fɾanθes	fʁanɛeeze	-4.857694450099565	fɹɐ̃ŋseʃ	frantʃeze	fʁɑ̃sɛ	fʁanteeze	-	fraŋkensɛm	fʁantesze	fʁanɛesze	fʁanɛeʃze	fʁantese
fɾaŋxiɾ	fraŋdʒɹre	-4.043882791101751	fɹɐ̃ŋziɹ	frandʒere	-	fraŋdʒere	frɨŋdʒe	fraŋɡɛrɛ	fraŋdiɾre	fraŋdiere	fraŋdʒɾre	fraŋdʒer
-		-1.6594379124341003	-	fratɛllo	-		-	fratɛllʊm	fratɛllo			fratɛllo
fɾateɾnal	fɹatɛɾnall	-3.3137040364658064	fɹɐtɨɾənɑl	fratɛrnal	fʁatɛʁnɛl	fʁatɛɾnɛll	-	fratɛrnalɛm	fʁatɛɾnall	fratɛɾnall	fɾatɛɾnall	fratɛɾnal
fɾateɾniðad	fʁatɛɾniteddɨ	-3.233651692351721	fɹɐtɨɾənidadɨ	-	fʁatɛʁnite	fʁatɛɾnitdddɨ	-	fratɛrnɪtatɛm	fʁatɛɾniteadɨ	fʁatɛɾnitaddɨ	fʁatɛɾnitaadɨ	fʁatɛɾnctadɨ
fɾateɾno	fratɛɾnoʊ	-3.1118720760585354	fɹɐtɛɾənʊ	fratɛrno	-	fraternnʊ	fratern	fratɛrnʊm	fraternoʊ	frateɾnoʊ	fratɛrnoʊ	fratɛɾnʊ
fɾaksineo	fɾaksinio	-2.0115777012074414	fɹɐksiniʊ	-	-	fɾɐksineo	-	fraksɪnɛʊm	fɾaksineo	fɾaksiniʊ	fɾaksineʊ	fɾɐksineʊm
fɾesno	frasiono	-4.561834954614416	fɹeɪʃʊ	frassino	fʁɛn	frassnno	frasin	fraksɪnʊm	frasiʊno	frasiino	frasinno	frasɛinʊm
fɾemito	fɹemito	-2.796120477789341	fɹemitʊ	frɛmito	-	fremitt	freamət	frɛmɪtʊm	fɾemito	fremito	fremitʊ	framitʊm
fɾemiɾ	fʁemire	-3.692901942249476	fɹɨmiɹ	frɛmere	fʁemiʁ	fremiʁe	-	frɛmɛrɛ	fʁemiɾe	fʁemiɹe	fʁemiʁe	fromiʁa
fɾesaɾ		-2.014881886648909	-	-	-		-	frɛndɛrɛ	fɾesaɾ			fɾesaɾ
fɾenaɾ	fɾenare	-2.0390771243474894	-	frenare	-		-	frenarɛ	fɾenaɾe	frenare	frenaɾe	frenaɾa
fɾekwɛnte	fʁekwenteɨ	-3.9606452595849566	fɹekweɪŋtɨ	frekwɛnte	fʁekɑ̃	frekwenttɨ	frekvent	frɛkwɛntɛm	frekwɛnteɨ	frekwenteɨ	frekwɛnttɨ	frekwɛnta
-	fʁekɑtetare	-2.2222275260497923	-	frekwentare	fʁekɑ̃te	fʁekwtetare	-	frɛkwɛntarɛ	fʁekɑentare	fʁekɑtntare	fʁekɑeetare	fʁekɑɛntara
fɾikθjon	friksjouee	-4.085977611594638	fɹisɐ̃ʊ̃	fritsione	fʁiksjɔ̃	friksjjnne	friktsjune	frɪktɪonɛm	friksjonee	friksjoune	friksjonne	friksjuna
fɾialðad	fridʒiddtate	-3.426844063194484	-	fridʒidita	fʁiʒidite	fridʒiiitate	fridʒiditate	friɡɪdɪtatɛm	fridʒiditate	fridʒidieate	fridʒidttate	fridʒidata
fɾio	fridʒid	-5.552012601168373	fɹiʊ	freddo	fʁwa	friaʒid	fridʒid	friɡɪdʊm	friddod	fridʒod	friddid	friaʒʊm
-		-1.7594379124341002	-	friŋɡwɛllo	-		-	frɪŋɡɪllam	friŋɡwɛllo			friŋɡwɛllo
fɾondoso	fɾondozʊ	-2.571589221906698	fɹuŋdozʊ	frondozo	-	fɾondozo	-	frɔndosʊm	frondozo	fɹondozo	frondozʊ	fɹʊmndozʊm
fɾontal	frontale	-3.595350271140894	fɹuŋtɑl	frontale	fʁɔ̃tal	fʁontlle	-	frɔntalɛm	fʁontale	fɾontale	fɹontale	fɹuntala
fɾonton	frontone	-4.505854705299225	fɹuŋtɐ̃ʊ̃	frontone	fʁɔ̃tɔ̃	fʁontoʊe	-	frɔntonɛm	fʁontone	fɾontone	fɹontone	fʁʊmntʊmnʊm
fɾuktwoso	fʁuktyoʊo	-3.8538664024683182	fɹutwozʊ	fruttuozo	fʁyktyø	fʁuktuoso	-	frʊktʊosʊm	fʁuktyozo	fʁuktuozo	fʁuktyoso	fʁuktʊmzʊm
fɾuto	fruto	-3.9804416570531087	fɹutʊ	-	fʁyi	frutʊ	frukt	fruktʊm	fʁutt	fʁuto	frutt	fruti
fɾuiθjon		-1.7373994539038122	-	-	-		-	frʊɪtɪonɛm	fɾuiθjon			ɾuiθjʊmn
fɾuiɾ	fruiɹe	-2.8335665402782038	fɹuiɹ	fruire	-	fɾuire	-	frʊi	fɾuiɾe	fruire	fruiɾe	fruiɾa
fɾusta		-1.5158121178980335	-	frusta	-		-	frʊstam	frusta	fɾusta		fɾusta
-		-1.8594379124341003	fɹutisɨ	-	-		-	frʊtɪkɛm	fɹutisɨ			fɹutisɨ
-		-1.9594379124341001	fɹutisɛtʊ	-	-		-	frʊtɪketʊm	fɹutisɛtʊ			fɹutisɛtʊ
-		-1.9594379124341001	fɹutikozʊ	-	-		-	frʊtɪkosʊm	fɹutikozʊ			fɹutikozʊ
-		-1.4094379124341003	-	fuko	-		-	fukʊm	fuko			fukʊm
fuɣaθ	fuɡatʃʲ	-4.217761521468473	fuɡaʃ	fuɡatʃe	fyɡas	fuɡatʃe	fuɡatʃʲ	fʊɡakɛm	fuɡasʃʲ	fuɡasʃe	fuɡaθʃʲ	fuɡatʃ
fuɣaɾ	fuɣaɾe	-3.041973039263138	fuɡaɹ	fuɡare	-	fuɣare	fuɡa	fʊɡarɛ	fuɡaɾe	fuɡaɹe	fuɡare	fuɡaɾ
fulkɾo	fulkʁom	-2.9209919403132285	fuwkɹʊ	fulkro	fylkʁɔm	fulkʁɔm	-	fʊlkrʊm	fulkrom	fulkɾom	fulkɹom	fulkɹʊm
fulxiɾ	fuldiɾre	-3.1917825956762886	fuwʒiɹ	fuldʒere	-	fuldʒɹre	fuldʒer	fʊlɡerɛ	fuldʒere	fuldiere	fuldʒɾre	fuldʒer
fulɣoɾ	folɣore	-2.4835198567281216	-	folɡore	-	fulɡore	-	fʊlɡorɛm	folɣoɾe	folɡore	folɡoɾe	fʊmlɣʊmɾa
-	fuldʒrr	-3.0984637820536967	-	folɡore	fudʁ	fuldoer	fuldʒer	fʊlɡʊr	fuldʒre	fuldʒer	fuldʒee	fulder
fulɣuɾaɾ	fulɡuɾaae	-4.234446306335018	fuwɡuɾaɹ	folɡorare	fylɡyʁe	fulɡueaae	fuldʒeɾa	fʊlɡʊrarɛ	fulɡuɾaɹe	fulɡuɾaɾe	fulɡuɾare	fulɡuɾaa
fulika	fulaɡa	-2.5360712943834347	-	fɔlaɡa	fulk	fuliɡa	-	fʊlɪkam	fulaka	fulkɡa	fulkka	fulaka
oʎin	fuliʒiʒine	-5.111664923816242	fuliʒeɪŋ	fulidʒʒine	fyliʒin	fuliʒdʒŋne	funiŋdʒine	fuliɡɪnɛm	fuliʒeʒine	fuliʒdʒine	fuliʒʒʒine	fuliiʒina
-		-2.03258146374831	-	-	fulɔ̃		-	fʊllonɛm	fulɔ			fulɔ
fulminaɾ	fulmineɾe	-2.321577964480997	-	fulminare	fylmine	fulminere	-	fʊlmɪnarɛ	fulminaɾe	fulminare	fylminare	fulminaa
fulβo	fuwvo	-2.295685936634719	fuwvʊ	fulvo	-	fulβʊ	-	fʊlwʊm	fulβo	fulvo	fulvʊ	fulvʊm
-		-1.6094379124341003	-	fumajɔlo	-		-	fumarɪɔlʊm	fumajɔlo			fumajɔlʊm
umeaɾ	fumiɡaɹare	-4.7247975138989755	fumɨɡaɹ	affumikare	fymiʒe	fumuɡakare	fumeɡa	fumɪɡarɛ	fumeɡakare	fumeɡaɹare	fumiɡakare	fumiɡaɹra
umoso	fumøzo	-3.5686767467964167	fumozʊ	fumozo	fymø	fumooʊ	-	fumosʊm	fumozo	fumozʊ	fumooo	fumøzʊm
-	fʁodda	-2.0203681286504285	-	fionda	fʁɔ̃d	fiɔdda	-	fʊndam	fʁɔnda	fʁonda	fʁɔdda	fʁɔnda
fundamɛnto	fundamenŋaʊ	-3.769242918485336	fũŋdɐmeɪŋtʊ	fondamenta	fɔ̃dmɑ̃	fundamenŋoʊ	fundament	fʊndamɛntʊm	fundamentaʊ	fundamentoʊ	fundamenttʊ	fundamenta
fundaðoɾ	fundaœoɹe	-4.052347978653803	fũŋdɐdoɹ	fondatore	fɔ̃datœʁ	fundaœore	-	fʊndatorɛm	fundatoɾe	fundatore	fundaœoɾe	fundator
fundiβulo	fundibulʊ	-2.0415352568074603	fũŋdibulʊ	-	-	fuŋdiβulo	-	fʊndɪbʊlʊm	fundiβulo	fundiβulʊ	fundibulo	undibulʊm
funeβɾe	funebrɨ	-3.4590578475744347	funɨbɹɨ	funebre	fynɛbʁ	funebɾe	funebru	funɛbrɛm	funebru	funebre	funebʁe	funɛbra
-		-1.7594379124341002	-	funeratitsio	-		-	funɛratikɪʊm	funeratitsio			funeratitsio
-	funɛriʊ	-1.8251410781671058	funɛɾiʊ	funɛreo	-	funɛɾeo	-	funɛrɛʊm	funɛreo	funɛreʊ	funɛrio	funɛreʊm
funesto	fynesto	-1.9848855158946446	-	funɛsto	fynɛst		-	funɛstʊm	funɛsto	fynɛsto	funesto	funɛstʊm
fuŋxiɾ	funxʒere	-2.558146610601428	-	fundʒere	-	fundʒere	-	fʊŋɡi	fundiɾre	fundʒɾre	fundiere	fundiɾra
oŋɡoso	fuɡɡooo	-4.260917762047916	fũŋɡozʊ	fuŋɡozo	fɔ̃ɡø	fuɡɡozʊ	-	fʊŋɡosʊm	fuŋɡozo	fuŋɡozʊ	fuɡɡozo	fuŋɡʊmzʊm
funikulo	funikylo	-2.676063024802848	funikulʊ	funikolo	fynikyl	funikylʊ	-	funɪkʊlʊm	funikulo	funikulʊ	funikolo	funikula
-		-1.93258146374831	-	fune	-		funje	funɛm	funje	funee		fune
uɾon	furetto	-6.535642280158942	fuɾɐ̃ʊ̃	furetto	fyʁɛ	furntto	fur	furɛm	furɛʊto	furɛtto	fureʊto	furctʊma
-		-1.2594379124341004	-	-	-		furtʃea	fʊrkɪllam	furtʃea			furtʃea
-		-1.5094379124341002	-	forfora	-		-	fʊrfʊrɛm	forfora			forfora
fuɾiβundo	fuɾibuŋdo	-3.3461314765069536	fuɾibũŋdʊ	furibondo	fyʁibɔ̃	fuɾibondo	-	fʊrɪbʊndʊm	fuɾibɔndo	fuɾibundo	fuɾibundʊ	fuɾibunda
fuɾjoso	fuɾjozo	-3.729132979186952	fuɾiozʊ	-	fyʁjø	fuɾjozʊ	fuɾjos	fʊrɪosʊm	fuɾjoso	fuɾjosʊ	fuɾjøso	fuɾjøsa
fuɾoɾ	fuɾore	-4.981652638567815	fuɾoɹ	furore	fyʁœʁ	fuɾaʁe	fuɾa	furari	fuɾoʁe	fuɾoɹe	fuɾoɾe	fuɾaʁ
fuɾtiβo	furtivvʊ	-3.5808455849380123	fuɾətivʊ	furtivo	fyʁtif	fuɾtivvʊ	furtiv	furtiwʊm	furtivoʊ	fuɾtivoʊ	furtifoʊ	furtivʊm
uɾto	furəoʊ	-2.8188758248682007	fuɾətʊ	furto	-	furooʊ	furt	furtʊm	furtoʊ	furttʊ	furotʊ	furtʊm
fuɾunkulo	fuɾuŋkulo	-3.8157904428194467	fuɾũŋkulʊ	forunkolo	fyʁɔ̃kl	fuɾukkulo	fuɾunkul	furʊŋkʊlʊm	fuɾunkulo	fuɾunkulʊ	fuɾunkolo	fuɾunkula
-		-1.5594379124341002	-	fiɔtʃina	-		-	fʊskɪnam	fiɔtʃina			fiɔtʃina
fusta	fuʃta	-1.832782465697866	fuʃtɐ	-	-		-	fʊstam	fusta	fuʃtɐ	fustɐ	fusta
ostiɣaɾ	fustiɡere	-3.011585222972468	fuʃtiɡaɹ	fustiɡare	fystiʒe	fustiɡɾre	-	fustiɡarɛ	fustiɡaɹe	fustiɡare	fustiɡeɹe	fustiɡaa
fuste	fusto	-4.149635530489617	fuʃtɨ	fusto	fyː	fuʃto	fuʃte	fustɛm	fuʃte	fuste	fuʃtɨ	fusta
-		-2.042969305058623	-	-	fytysjɔ̃		-	fʊtutɪonɛm	fytysjɔ			fytysliɔ
ɡaβeta	ɡatetta	-3.9915960856900323	ɡɐvetɐ	ɡavetta	ʒat	ɡatetaa	-	ɡabatam	ɡavetɐa	ɡavetta	ɡavetaa	ɡavpta
-		-2.7094379124341	-	-	ʒɛ		-	ɡaɡaten	ʒɛ			ʒɛ
-	ɡalblo	-4.062023005428146	-	dʒallo	ʒon	ɡalbeo	ɡalben	ɡalbɪnʊm	ɡalben	ɡalbln	ɡallen	ɡalln
ɡalea		-1.4784307839210518	-	-	-		-	ɡalɛam	ɡalea			ɡalea
ɡalena		-1.916635007632617	-	ɡalɛna	ɡalɛn		-	ɡalenam	ɡalɛna	ɡalena		ɡalɛna
ɡaleɾo	ɡalɛɾo	-2.4533894473031683	ɡɐleɾʊ	ɡalɛro	-	ɡɐleɾo	-	ɡalerʊm	ɡaleɾo	ɡaleɾʊ	ɡalero	ɡalɛɾʊm
ɡaʎa	ɡaʎaa	-3.161247717515657	ɡaʎɐ	ɡalla	ɡal	ɡalaa	-	ɡallam	ɡaʎla	ɡalɐa	ɡalla	ɡala
ɡaʎeɣo	ɡaʎeɡo	-2.4713986811414435	ɡɐleɡʊ	-	-	ɡaleɣo	-	ɡallaɪkʊm	ɡaʎeɣo	ɡaʎeɡʊ	ɡaʎeɣʊ	ɡaʎeɡʊm
ɡalon	ɡaleetəa	-2.7045727735769245	-	ɡalletta	-	ɡaleetta	ɡəleatə	ɡallɛtam	ɡaleatəa	ɡalentəa	ɡaleatta	ɡalenta
-		-1.9101086078962515	-	ɡallitʃinio	-		-	ɡallɪkɪnɪʊm	ɡallitʃinio			ɡallitʃinio
-		-1.8594379124341003	-	-	-		ɡəinats	ɡallinakɛʊm	ɡəinats			ɡəinats
ɡaʎo	ɡaloo	-2.351046452292545	ɡalʊ	ɡallo	-	ɡaʎoo	-	ɡallʊm	ɡallo	ɡalʊo	ɡaʎlo	ɡalʊm
-	ʒabba	-2.1810891599660818	-	ɡamba	ʒɑ̃b	ɡɑbba	-	ɡambam	ʒɑmba	ʒamba	ʒɑbba	ʒɑmba
-		-1.5094379124341002	-	aŋɡamo	-		-	ɡaŋɡamɔn	aŋɡamo			aŋɡamʊm
ɡaɲiɾ	ɡaniɹ	-2.4934070875143006	ɡɐniɹ	-	-	ɡɐɲiɾ	-	ɡannirɛ	ɡaɲiɾ	ɡaɲiɹ	ɡaniɾ	ɡaɲiɹ
ɡanaɾ	ɡadaɾ	-2.0934070875143007	ɡadʊ	-	-		-	ɡanarɛ	ɡadʊɾ	ɡanaɾ	ɡanʊɾ	ɡada
ɡariɾ	ɡariire	-3.392085864711447	ɡɐʁiɹ	ɡarrire	-	ɡarrɾre	-	ɡarrirɛ	ɡariɾre	ɡariɹre	ɡarrire	ɡariɹra
ɡarulo	ɡarrllo	-1.6635885922613585	-	ɡarrulo	-	ɡarrloo	-	ɡarrʊlʊm	ɡarrulo	ɡaruulo	ɡarruoo	ɡarulʊm
-		-1.7094379124341004	ɡaɾʊ	-	-		-	ɡarʊm	ɡaɾʊ			ɡaɾʊ
-		-1.9925823589626384	-	-	ɡaz		-	ɡasɛm	ɡaz			ɡaz
-		-1.3594379124341003	-	ɡastaldo	-		-	ɡastaldʊm	ɡastaldo			ɡastaldʊm
-		-1.58258146374831	-	-	ɡate		-	ɡastɛrɛm	ɡate			ɡuta
ɡoθaɾ	ɡodare	-4.551475938864603	ɡuzaɹ	ɡodere	ɡodiʁ	ɡodiʁe	-	ɡaʊderɛ	ɡodaʁe	ɡodaɾe	ɡodaɹe	ɡaʊdaʁa
ɡoθo	ɡaθoio	-3.108107649194322	ɡɔzʊ	ɡaudio	-	ɡaudio	-	ɡaʊdɪʊm	ɡauoio	ɡauʊio	ɡaθdio	ɡaθiʊm
elaɾ	ʒəleɹre	-4.408650170353198	ʒɨlaɹ	dʒelare	ʒəle	ʒəllɹre	-	ɡɛlarɛ	ʒəleare	ʒəlɾare	ʒəllare	ʒəlaɹa
jelo	dʒlʊo	-5.932391134078574	ʒelʊ	dʒɛlo	ʒɛl	dʒloo	dʒer	ɡɛlu	dʒllo	delro	dʒlro	dʒplʊm
xemelo	ʒymolllo	-4.402601131213068	ʒɛmiʊ	dʒemɛllo	ʒymo	ʒymololo	-	ɡɛmɛllʊm	ʒymoʊllo	ʒymoɛllo	ʒymoɛolo	ʒymɛʊmlʊm
xeminaθjon	deminnatoione	-3.438757059942869	ʒeminɐsɐ̃ʊ̃	dʒeminatsione	-	deminnatonone	-	ɡɛmɪnatɪonɛm	deminnatsione	deminnatsnone	deminnatʊione	deminatʊiʊmne
xeminaɾ	deminaare	-2.801244983484249	ʒeminaɹ	dʒeminare	-	xeminaare	-	ɡɛmɪnarɛ	deminaɾre	deminaɹre	xeminaɾre	deminaɹra
xemiðo	dʒmimtt	-4.0580421269317	ʒemidʊ	dʒɛmito	-	dʒmimət	dʒeamət	ɡɛmɪtʊm	dʒmimot	dʒmiməo	dʒmimto	dʒmomctʊm
xema	ʒʒmməa	-4.85145728861651	ʒemɐ	dʒɛmma	ʒɛm	demmma	dʒemə	ɡɛmmam	dʒmməa	dʒmmma	demməa	dʒmma
-	ʒɛmmlɐla	-3.0528635815193867	ʒemulɐ	dʒemmula	ʒɛmyl	ʒɛmulula	-	ɡɛmmʊlam	ʒɛmylula	ʒɛmmlula	ʒɛmylɐla	ʒɛmyula
-		-1.8094379124341002	-	-	-		dʒeanə	ɡɛnam	dʒeanə			dʒeanə
xenista	ʒənɛsɐa	-3.142085864711447	ʒiɛʃtɐ	-	ʒənɛ	ʒənɛtɐa	-	ɡɛnɛstam	ʒənɛsta	ʒənɛtta	ʒənista	ʒənɛsta
-		-1.8094379124341002	-	dʒenitritʃe	-		-	ɡɛnɛtrikɛm	dʒenitritʃe			dʒenitritʃe
xenjal	ʒenjjlle	-3.7898054141546123	ʒeniɑl	dʒenjale	ʒenjal	ʒennalle	-	ɡɛnɪalɛm	ʒenjalle	ʒenjɑlle	ʒenialle	ʒenjall
-	dʒeniiivo	-1.903568657627921	ʒenitivʊ	dʒenitivo	-	dʒenitvʊo	-	ɡɛnɪtiwʊm	dʒenitivo	dʒenitiʊo	dʒenitvvo	dʒenctivʊm
xentil	ʒetttile	-3.61413900656716	ʒeɪŋtiʊ	dʒentile	ʒɑ̃ti	ʒetitiʊe	-	ɡɛntilɛm	ʒetntile	ʒetntiʊe	ʒetitile	ʒentila
xentiliðad	dʒentiliaa	-1.9304184645039304	-	dʒentilita	-	dʒentilðta	-	ɡɛntilɪtatɛm	dʒentilita	dʒentiliad	dʒentilitd	dentilðta
xeneɾo	dʒnnɾre	-6.709343115195206	ʒɛnɨɾʊ	dʒɛnere	ʒɑ̃ʁ	ʒʒnnɾre	dʒen	ɡɛnʊs	dʒnnɾoe	dʒnnɾʊe	ʒʒnnɾoe	dʒnnɾa
xeoɣɾafia	dʒeoɡrfiie	-3.6883533115594727	ʒiuɡɹɐfiɐ	dʒeoɡrafia	ʒeɔɡʁafi	dʒeɡɡrfiie	dʒeoɡrafie	ɡeɔɡrapʰɪam	dʒeoɡafiia	dʒeoɡafiie	dʒeoɡrfiia	ʒeaʊɡafia
xeoɣɾafiko	ʒeoɡʁafiko	-2.5148066990318174	-	-	ʒeɔɡʁafik	ʒeɔɣɾafiko	-	ɡɛoɡrapʰɪkʊm	ʒeɔɡʁafiko	ʒeɔɡɾafiko	ʒeɔɣʁafiko	ʒoɔɡɾafikʊm
xeoɣɾafo		-1.7897997302973438	-	-	-		-	ɡɛoɡrapʰʊm	xeoɣɾafo			xeʊmɣɾafʊm
xeometɾia	dʒeomeɾria	-1.4654691235540778	-	dʒeometria	-	dʒeometiaa	-	ɡɛomɛtrɪam	dʒeometria	dʒeometiia	dʒeometraa	deʊmmetria
xeɾmaniko	dʒermnniko	-3.6516558888940196	ʒeɾəmɐ̃nikʊ	dʒermaniko	ʒɛʁmanik	dʒermnnikʊ	dʒermanik	ɡɛrmanɪkʊm	dʒermaniko	dʒermanikʊ	dʒemmaniko	dʒermanika
eɾmandad	eɾmanddddɨ	-2.251008403902907	iɾəmɐ̃ŋdadɨ	-	-	eɾmanŋaddɨ	-	ɡɛrmanɪtatɛm	eɾmandaddɨ	eɾmandaadɨ	eɾmanddadɨ	eɾmanddada
eɾmano	ʒɛʁmɛono	-4.189163914620474	mɐ̃nʊ	dʒermano	ʒɛʁmɛ̃	ʒɛʁmmono	-	ɡɛrmanʊm	ʒɛʁmɛano	ʒɛʁmnano	ʒɛʁmmano	ʒɛmmanʊm
xeɾmen	dʒɾmmen	-5.551344493805994	ʒɛɾəmɨ	dʒɛrme	ʒɛʁm	dɛɾmmen	dʒermen	ɡɛrmɛn	dʒɾrmen	dɛɾrmen	ʒʒɾrmen	dʒɾrmɨn
xeɾeɾ	ʒeɾiɾ	-3.378926160721702	ʒɨɾiɹ	-	ʒeʁe	ʒeɾiɹ	-	ɡɛrɛrɛ	ʒeɾeɾ	ʒeɾeɹ	ʒeʁeɾ	ʒaɾeɾ
