ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT	parsimony_proto1	parsimony_proto2	parsimony_proto3	parsimony_proto4	parsimony_proto5
-	-	-	-	iŋsieɪŋtɨ	inskɪɛntɛm	iŋsieɪŋtɨ				
-	-	-	-	iŋsjeɪŋsjɐ	inskɪɛntɪam	iŋsjeɪŋsjɐ				
-	-	-	-	iŋsisjɐ	inskitɪam	iŋsisjɐ				
-	-	-	-	iŋsiʊ	inskɪʊm	iŋsiʊ				
ɨnskrie	ɛ̃skʁiʁ	iskrivere	inskɾiβiɾ	iŋskɹɨveɹ	inskribɛrɛ	inskiiere	inskiierɾ	inskiierɹ	inskiieie	inskiieiɾ
-	ɑ̃syivʁ	inseɡwire	-	-	insɛkwi	ɑsyivʁire	ɑsyivwire	ɑsyiɡʁire	ɑsyiɡwire	ɑsyevʁire
-	ɛ̃seʁe	inserire	-	iŋsɨɾiɹ	insɛrɛrɛ	issʁeire	issʁeiɹe	issʁrire	issʁriɹe	issʁɾire
-	ɛ̃sɛʁsjɔ̃	insertsione	inseɾθjon	iŋsɨɾəsɐ̃ʊ̃	insɛrtɪonɛm	inseɾjsione	inseɾjsinne	inseɾjsiʊne	inseɾjsoone	inseɾjsonne
-	-	insidjare	-	-	insɪdɪari	insidjare				
-	ɛ̃siɲ	inseɲɲa	insiɡnja	iŋsiɡnjɐ	insɪŋnɛ	insiɡnja	insiɡnjɐ	insiɡnaa	insiɡnaɐ	insiɡɲja
-	ɛ̃siɲ	insiɲɲe	insiɡne	iŋsiɡnɨ	insɪŋnɛm	insiɡne	insiɡnɨ	insiɡɲe	insiɲne	issiɡne
ɨnsemna	ɑ̃sɛɲe	inseɲare	enseɲaɾ	eɪŋsinaɹ	insɪŋnarɛ	enseɲnae	enseɲnaɹ	enseɲaae	enseɲaaɹ	enseɲnre
-	ɛ̃sinye	insinuare	insinwaɾ	-	insɪnʊarɛ	insineare	insineaɾe	insinuare	insinuaɾe	insinware
-	ɛ̃solasjɔ̃	-	-	-	insolatɪonɛm	ɛsolasjɔ				
-	ɛ̃solit	insɔlito	insolito	iŋsɔlitʊ	insɔlɪtʊm	insɔlito	insɔlitʊ	insllito	insolito	issɔlito
-	-	insɔnne	insomne	-	insɔmnɛm	insɔnne	insɔmne	insonne	insomne	
-	-	-	insonte	iŋsoŋtɨ	insɔntɛm	insonte	insontɨ	insoŋte	insoŋtɨ	iŋsonte
-	ɛ̃spɛkte	-	inspekθjonaɾ	-	inspɛktarɛ	ɛspɛktejonaɾ	ɛspɛktθjonaɾ	ɛspɛkkejonaɾ	ɛspɛkkθjonaɾ	ɛspɛetejonaɾ
-	ɛ̃staʁ	-	-	-	instar	ɛstaʁ				
-	ɛ̃stoʁe	instaurare	instaʊɾaɾ	iŋstaʊɾaɹ	instaʊrarɛ	instaʊɾare	instaʊɾaɾe	instaʊɾaɹe	instaʊrare	instaʊraɾe
-	ɛ̃stitye	istituire	institwiɾ	iŋstituiɹ	instɪtʊɛrɛ	istitteie	istitteiɾ	istitteiɹ	istittiie	istittiiɾ
-	ɛ̃stʁyksjɔ̃	-	-	iŋstɹusɐ̃ʊ̃	instrʊktɪonɛm	ɛstʁyksjɔ	ɛstʁyksjʊ	ɛstʁyksɐɔ	ɛstʁyksɐʊ	ɛstʁyusjɔ
-	ɛ̃stʁymɑ̃tal	-	instɾumental	-	instrumɛntalɛm	ɛstʁymɑtalal	ɛstʁymɑtatal	ɛstʁymɑtnlal	ɛstʁymɑtntal	ɛstʁymɑealal
-	ɛ̃stʁyiʁ	istruire	instɾuiɾ	-	instrʊɛrɛ	istʁyiʁe	istʁyiʁɾ	istʁyire	istʁyirɾ	istʁyiie
-	ɛ̃syfle	-	-	-	insʊfflarɛ	ɛsyfle				
insular	ɛ̃sylɛʁ	insulare	insulaɾ	iŋsulaɹ	insʊlarɛm	insulare	insulaɾe	insulaɹe	issulare	iŋsulare
izolat	izole	izolato	aɪslaðo	izuladʊ	insʊlatʊm	izolato	izolatʊ	izolaðo	izolado	izolaðʊ
-	-	insulso	insulso	iŋsuwsʊ	insʊlsʊm	insulso	insulsʊ	insuwso	iŋsulso	insuwsʊ
-	-	insulto	insulto	iŋsuwtʊ	insʊltʊm	insulto	insultʊ	insuwto	iŋsulto	insuwtʊ
-	-	-	insumiɾ	-	insumɛrɛ	insumiɾ				
-	ɛ̃syʁʒe	-	-	-	insʊrɡɛrɛ	ɛsyʁʒe				
inteɡru	ɑ̃tje	intɛro	inteɣɾo	iŋtɨɡɹʊ	ɪntɛɡrʊm	inteɡru	inteɡro	inteɡrʊ	inteɡou	inteɡoo
-	ɛ̃teɡʁe	inteɡrare	inteɣɾaɾ	-	ɪntɛɡrarɛ	inteʁeare	inteʁeaɾe	inteʁrare	inteʁraɾe	inteʁɾare
ɨntseleptʃune	-	intelletsione	intelekθjon	iŋtɨlɛsɐ̃ʊ̃	ɪntɛllɛktɪonɛm	intelleptʃune	intelleptʃone	intelleptʃnne	intelleptiune	intelleptione
ɨntselept	ɛ̃tɛlɛkt	intelletto	intelekto	iŋtɨlɛtʊ	ɪntɛllektʊm	intelletto	intellttto	intelletoo	intellttoo	intellepto
ɨntseledʒe	-	-	intelixiɾ	iŋtɨliʒiɹ	ɪntɛllɛɡɛrɛ	intslieiʒe	intslieiɾe	intslieiɹe	intslixiʒe	intslixiɾe
-	ɛ̃tɑ̃pɛstivite	-	-	iŋteɪmpeʃtividadɨ	ɪntɛmpɛstiwɪtatɛm	ɛtɑpɛstiviteidadɨ	ɛtɑpɛstivitvidadɨ	ɛtɑpɛstiviieidadɨ	ɛtɑpɛstiviividadɨ	ɛtɑpɛstivtteidadɨ
-	ɛ̃tɑ̃pɛstif	-	intempestiβo	-	ɪntɛmpɛstiwʊm	ɛtɑpɛstifiβo	ɛtɑpɛstitiβo	ɛtɑpɛstsfiβo	ɛtɑpɛststiβo	ɛtɑpɛseifiβo
intentsje	ɛ̃tɑ̃sjɔ̃	intentsione	intenθjon	iŋteɪŋsɐ̃ʊ̃	ɪntɛntɪonɛm	intentsjene	intentsjone	intentsjnne	intentsjʊne	intentsiene
-	-	-	intentaɾ	-	ɪntɛntarɛ	intentaɾ				
-	ɑ̃tɑ̃t	intɛnto	intɛnto	iŋteɪŋtʊ	ɪntɛntʊm	intɛntoʊ	intɛnttʊ	intɛnŋoʊ	intɛɪtoʊ	inttntoʊ
-	ɛ̃tɛʁsede	intertʃedere	inteɾθeðeɾ	iŋtɨɾəsɨdeɹ	ɪntɛrkedɛrɛ	inteɾededere	inteɾededeɹe	inteɾeʃedere	inteɾeʃedeɹe	inteɾeeedere
-	-	intertʃidere	-	-	ɪntɛrkɪdɛrɛ	intertʃidere				
-	-	interkludere	-	-	ɪntɛrkludɛrɛ	interkludere				
interzitʃe	ɛ̃tɛʁdiʁ	interdire	inteɾðeθiɾ	iŋtɨɾədizeɹ	ɪntɛrdikɛrɛ	interzitʃeɹ	interziteeɹ	interzitieɹ	interzitzeɹ	interzirʃeɹ
-	-	interiettivo	-	-	ɪntɛrɪɛktiwʊm	interiettivo				
-	ɛ̃tɛʁʒɛksjɔ̃	-	inteɾxekθjon	-	ɪntɛrjɛktɪonɛm	ɛtɛʁʒɛksjɔon	ɛtɛʁʒɛksjjon	ɛtɛʁʒɛksθɔon	ɛtɛʁʒɛksθjon	ɛtɛʁʒɛkkjɔon
-	ɛ̃tɛʁloke	-	-	-	ɪntɛrlɔkwi	ɛtɛʁloke				
-	-	interlunio	-	-	ɪntɛrlunɪʊm	interlunio				
-	-	-	inteɾmeðjo	-	ɪntɛrmɛdɪʊm	inteɾmeðjo				
-	-	intermettere	entɾemeteɾse	-	ɪntɛrmɪttɛrɛ	intermettere	intermettese	intermettɾre	intermettɾse	intermeteere
-	ɑ̃tʁəpoze	interpɔrre	entɾeponeɾ	eɪŋtɹɨpoɹ	ɪntɛrponɛrɛ	entəppzere	entəppzerɾ	entəppzeee	entəppzeeɾ	entəppzeɹe
-	ɛ̃tɛʁpʁetabl	interpretabile	-	-	ɪntɛrprɛtabɪlɛm	ɛtɛʁpʁetablile	ɛtɛʁpʁetabbile	ɛtɛʁpʁetaalile	ɛtɛʁpʁetaabile	ɛtɛʁpʁettblile
-	-	interpretare	-	-	ɪntɛrprɛtari	interpretare				
-	ɑ̃tʁəpwɛ̃dʁ	interpundʒere	-	-	ɪntɛrpʊŋɡɛrɛ	ɑtʁəpwɛdʁʒere	ɑtʁəpwɛddʒere	ɑtʁəpwɛnʁʒere	ɑtʁəpwɛndʒere	ɑtʁəpwudʁʒere
ɨntreɾupe	ɛ̃tɛʁɔ̃pʁ	interrompere	interumpiɾ	iŋtɨʁumpeɹ	ɪntɛrrʊmpɛrɛ	interumpeere	interumpeɾre	interumpeɹre	interumppere	interumppɾre
-	ɛ̃tɛʁypsjɔ̃	interrutsione	interupθjon	iŋtɨʁupsɐ̃ʊ̃	ɪntɛrrʊptɪonɛm	interupjɔione	interupjɔinne	interupjɔoone	interupjɔonne	interupjɔʊone
-	ɛ̃tɛʁvɑ̃sjɔ̃	-	inteɾβenθjon	iŋtɨɾəveɪŋsɐ̃ʊ̃	ɪntɛrwɛntɪonɛm	ittʁɾɑsjɔjonʊ	ittʁɾɑsjɔjoɐʊ	ittʁɾɑsjɔjsnʊ	ittʁɾɑsjɔjsɐʊ	ittʁɾɑsjɔŋonʊ
-	ɛ̃tɛʁvɛʁtiʁ	-	inteɾβeɾtiɾ	-	ɪntɛrwɛrtɛrɛ	ɛtɛʁvɛʁtiʁɾ	ɛtɛʁvɛʁtiiɾ	ɛtɛʁvɛʁttʁɾ	ɛtɛʁvɛʁttiɾ	ɛtɛʁvɛʁɾiʁɾ
-	-	-	intestinal	-	ɪntɛstinalɛm	intestinal				
-	ɛ̃timasjɔ̃	intimatsione	intimaθjon	iŋtimɐsɐ̃ʊ̃	ɪntɪmatɪonɛm	intimajɔione	intimajɔinne	intimajɔoone	intimajɔonne	intimajɔʊone
ɨntɔartʃe	-	-	-	-	ɪntɔrkwerɛ	ɨntɔartʃe				
-	ɛ̃tʁɛ̃sɛk	-	-	iŋtɹiŋsɨkʊ	ɪntrinsɛkʊm	ɛtʁɛsɛkɨkʊ	ɛtʁɛsɛsɨkʊ	ɛtʁɛsŋkɨkʊ	ɛtʁɛsŋsɨkʊ	ɛtʁɛiɛkɨkʊ
introduktsie	ɛ̃tʁodyksjɔ̃	introdutsione	intɾoðukθjon	iŋtɹudusɐ̃ʊ̃	ɪntrodʊktɪonɛm	introduktsone	introduktɔone	introduktione	introduktjone	introduktʊone
-	ɛ̃tʁɔi	intrɔito	intɾoɪto	eɪŋtɹudʊ	ɪntrɔɪtʊm	intɔiito	intɔiɪto	intɔiuto	intɔɔito	intɔɔɪto
-	-	-	entɾemeteɾse	iŋtɹumɨteɹ	ɪntromɪttɛrɛ	entɾemeteɾse	entɾemeteɹse	entɾemɨteɾse	entɾemɨteɹse	entɾumeteɾse
-	ɑ̃tʁəʁɔ̃pʁ	-	-	-	ɪntrorʊmpɛrɛ	ɑtʁəʁɔpʁ				
-	ɛ̃tʁɔspɛksjɔ̃	-	-	-	ɪntrospɪkɛrɛ	ɛtʁɔspɛksjɔ				
-	ɛ̃tyite	-	intwiɾ	-	ɪntʊeri	ɛtyite	ɛtyitɾ	ɛtyiie	ɛtyiiɾ	ɛtywte
-	-	-	-	iŋtuɪtʊ	ɪntʊɪtʊm	iŋtuɪtʊ				
-	-	inulto	inulto	-	ɪnʊltʊm	inulto				
inundatsje	-	-	inundaθjon	inũŋdɐsɐ̃ʊ̃	ɪnʊndatɪonɛm	inundatsje	inundatsjn	inundatsoe	inundatson	inundatsʊe
-	inɔ̃de	inondare	inundaɾ	inũŋdaɹ	ɪnʊndarɛ	inundare	inundaɾe	inundaɹe	inuddare	inuddaɾe
-	-	inuzitato	-	inuzitadʊ	ɪnusɪtatʊm	inuzitato	inuzitatʊ	inuzitado	inuzitadʊ	
-	ɛ̃valid	-	-	-	ɪnwalɪdʊm	ɛvalid				
inventor	ɛ̃vɑ̃tœʁ	inventore	imbentoɾ	iŋveɪŋtoɹ	ɪnwɛntorɛm	inventore	inventorɹ	inventoɾe	inventoɾɹ	inventooe
-	ɛ̃vɑ̃tʁis	inventritʃe	-	-	ɪnwɛntrikɛm	ɛvɑtʁisitʃe	ɛvɑtʁiritʃe	ɛvɑtʁtsitʃe	ɛvɑtʁtritʃe	ɛvɑtnisitʃe
-	ɛ̃vɛʁtiʁ	invertire	imbeɾtiɾ	iŋvɨɾəteɹ	ɪnwɛrtɛrɛ	ivveɾtire	ivveɾtirɹ	ivveɾtiɾe	ivveɾtiɾɹ	ivveɾtiee
-	-	investiɡatsione	imbestiɣaθjon	iŋvɨʃtiɡɐsɐ̃ʊ̃	ɪnwɛstiɡatɪonɛm	investiɡatsione	investiɡatsinne	investiɡatsoone	investiɡatsonne	investiɡatsʊone
-	ɛ̃vɛstiɡe	-	imbestiɣaɾ	-	ɪnwɛstiɡarɛ	ɛvɛstiɡeaɾ	ɛvɛstiɡɣaɾ	ɛvɛstiieaɾ	ɛvɛstiiɣaɾ	ɛvɛsttɡeaɾ
ɨnveʃtʲ	ɛ̃vɛstiʁ	investire	imbestiɾ	iŋvɨʃtiɹ	ɪnwɛstirɛ	inveʃtire	inveʃtiɾe	inveʃtiɹe	investire	investiɾe
-	ɛ̃vetʁe	-	imbeteɾaɾ	-	ɪnwɛtɛrarɛ	ɛvetʁeɾaɾ	ɛvetteɾaɾ	ɛveeʁeɾaɾ	ɛveeteɾaɾ	ɛvbtʁeɾaɾ
-	-	invitto	imbikto	iŋvitʊ	ɪnwɪktʊm	invitto	imvitto	iŋvitto	invitʊo	imvitʊo
invidje	ɑ̃vi	invidia	embiðja	iŋvidjɐ	ɪnwɪdɪam	invidja	invidje	invidjɐ	ivvidja	imvidja
invidjos	ɑ̃vjø	invidiozo	embiðjoso	iŋvɨʒozʊ	ɪnwɪdɪosʊm	invidjoso	invidjozo	invidjoʊo	invidioso	invidooso
-	-	-	-	iŋvidʊ	ɪnwɪdʊm	iŋvidʊ				
ɨnveɡea	-	invidʒilare	imbixilaɾ	-	ɪnwɪɡɪlarɛ	inviɡealare	inviɡealɾre	inviɡeaaare	inviɡeaaɾre	inviɡeilare
invitatsje	-	invitatsione	imbitaθjon	iŋvitɐsɐ̃ʊ̃	ɪnwɪtatɪonɛm	invitatsjene	invitatsjone	invitatsjnne	invitatsiene	invitatsione
invita	-	invitare	imbitaɾ	iŋvitaɹ	ɪnwitarɛ	invitare	invitaɾe	invitaɹe	imvitare	imvitaɾe
ɨnvɔalbe	-	involdʒere	embolβeɾ	eɪŋvulveɹ	ɪnwɔlwɛrɛ	envollbere	envollbeɹe	envollʒere	envollʒeɹe	envolleere
-	-	dʒokozo	-	-	jɔkosʊm	dʒokozo				
-	-	-	-	ʒuɡɹɑl	jɔkʊlarɛm	ʒuɡɹɑl				
ɨns	-	esso	eso	isʊ	ɪpsʊm	esso	esoo	esʊo	ɨsso	isso
-	iʁ	ira	iɾa	iɾɐ	iram	iɾa	iɾɐ	iʁa	ira	iʁɐ
-	-	irakondia	iɾakundja	-	irakʊndɪam	irakondia	irakondja	irakundia	irakundja	iɾakondia
-	-	irakondo	iɾakundo	-	irakʊndʊm	irakondo	irakundo	iɾakondo	iɾakundo	
-	iʁasibl	iraʃibile	iɾasθiβle	-	iraskɪbɪlɛm	iʁasiblle	iʁasibile	iʁasibβle	irasiblle	irasibile
-	-	irato	-	iɾadʊ	iratʊm	irato	iratʊ	irado	iradʊ	iɾato
iɾeɡular	iʁeɡylje	irreɡolare	ireɣulaɾ	iʁɨɡulaɹ	ɪrreɡʊlarɛm	iʁeɡularre	iʁeɡulaere	iʁeɡulaare	iʁeɡulaɾre	iʁeɡulaɹre
-	-	irrekwjeto	-	-	ɪrrɛkwɪetʊm	irrekwjeto				
-	iʁiɡe	irriɡare	iriɣaɾ	-	ɪrrɪɡarɛ	iriɡeare	iriɡeɾre	iriɡɡare	iriɡɡɾre	iriɡaare
iɾita	-	-	iritaɾ	iʁitaɹ	ɪrritarɛ	iɾitaɾ	iɾitaɹ	iritaɾ	iritaɹ	iʁitaɾ
-	-	irroɡare	iroɣaɾ	-	ɪrrɔɡarɛ	irroɡare	irroɡɾre	irroaare	irroaɾre	irrɣɡare
-	iʁɔ̃pʁ	irrompere	irumpiɾ	iʁumpeɹ	ɪrrʊmpɛrɛ	iʁumppere	iʁumppɾre	iʁumppɹre	iʁumpiere	iʁumpiɾre
əst	-	ɛsto	esto	iʃtʊ	ɪstʊm	əsto	ɛsto	esto	isto	əstʊ
italjan	italjɛ̃	italiano	italjano	itɐliɐ̃nʊ	italɪanʊm	italjano	italjanʊ	italiano	italianʊ	italjɛno
-	-	iter	-	-	ɪtɛr	iter				
-	iteʁasjɔ̃	iteratsione	iteɾaθjon	itɨɾɐsɐ̃ʊ̃	ɪtɛratɪonɛm	iteɾasjɔone	iteɾasjɔnne	iteɾasjione	iteɾasjinne	iteɾasjoone
iteɾa	iteʁe	iterare	iteɾaɾ	itɨɾaɹ	ɪtɛrarɛ	iteɾare	iteɾaɾe	iteɾaɹe	iteʁare	iteʁaɾe
-	itineʁɛʁ	itinerario	itineɾaɾjo	itinɨɾaɾjʊ	ɪtɪnɛrarɪʊm	itineɾaɾjo	itineɾaɾjʊ	itineɾaɾio	itineɾaʁjo	itineɾarjo
-	-	dʒuba	-	ʒubɐ	jʊbam	dʒuba	dʒuɐa	dʒbba	dʒbɐa	duuba
-	-	dʒubbato	-	-	jʊbatʊm	dʒubbato				
-	ʒybilasjɔ̃	-	-	-	jubɪlatɪonɛm	ʒybilasjɔ				
-	ʒybile	dʒubilare	xuβilaɾ	ʒubilaɹ	jubɪlarɛ	ʒubilaare	ʒubilaɾre	ʒubilaɹre	ʒubileare	ʒubileɾre
-	-	dʒokondita	xokundiðad	ʒukũŋdidadɨ	jukʊndɪtatɛm	dʒkuodiiadɨ	dʒkuodiðadɨ	dʒkuodidadɨ	dʒkundiiadɨ	dʒkundiðadɨ
-	-	dʒokondo	xokundo	ʒukũŋdʊ	jukʊndʊm	dʒkuoddo	dʒkuodoo	dʒkuodʊo	dʒkunddo	dʒkundoo
-	ʒyif	dʒudɛo	xuðio	ʒudeʊ	judaɪʊm	ʒuifɛo	ʒuifoo	ʒuifʊo	ʒuidɛo	ʒuidoo
-	-	dʒudikabile	-	-	judɪkabɪlɛm	dʒudikabile				
-	-	dʒudikativo	-	-	judɪkatiwʊm	dʒudikativo				
ʒudekətor	-	dʒudikatore	xuθɣaðoɾ	ʒuwɡɐdoɹ	judɪkatorɛm	ʒudekəoorre	ʒudekəooore	ʒudekəotrre	ʒudekəotore	ʒudekəoɾrre
-	-	dʒudikatɔrio	-	-	judɪkatorɪʊm	dʒudikatɔrio				
-	-	dʒudikatritʃe	-	-	judɪkatrikɛm	dʒudikatritʃe				
-	-	dʒudikato	-	-	judɪkatʊm	dʒudikato				
-	ʒydisjɛl	dʒuditsjale	xuðiθjal	ʒudisiɑl	judɪkɪalɛm	ʒudisjɛlale	ʒudisjslale	ʒudisjalale	ʒudisjɑlale	ʒudistɛlale
ʒuditʃjar	ʒydisjɛʁ	dʒuditsjario	xuðiθjaɾjo	ʒudisiaɾjʊ	judɪkɪarɪʊm	ʒudisjaɾjrio	ʒudisjaɾjoio	ʒudisjaɾjʊio	ʒudisjaɾrrio	ʒudisjaɾroio
ʒudets	-	dʒuditsio	xwiθjo	ʒuizʊ	judɪkɪʊm	ʒuietssio	ʒuiettsio	ʒuietosio	ʒuieissio	ʒuieitsio
-	ʒyɡal	-	-	ʒuɡɑl	jʊɡalɛm	ʒyɡal	ʒyɡɑl	ʒuɡal	ʒuɡɑl	
juɡər	ʒyʒɛʁ	judʒero	-	-	juɡɛrʊm	juɡərro	juɡəʁro	juɡəero	juɡɛrro	juɡɛʁro
ʒuŋɡja	ʒyɡyle	dʒuɡulare	ʝuɣulaɾ	-	jʊɡʊlarɛ	ʒuŋɡlaare	ʒuŋɡlaɾre	ʒuɡɡlaare	ʒuɡɡlaɾre	ʒuuɡlaare
-	-	dʒuɡolo	-	-	jʊɡʊlʊm	dʒuɡolo				
-	-	dʒuliano	-	-	julɪanʊm	dʒuliano				
-	ʒymɑ̃	dʒumento	xumɛnto	ʒumeɪŋtʊ	jumɛntʊm	ʒumɑento	ʒumɑentʊ	ʒumɑetto	ʒumɑettʊ	ʒumɑeŋto
-	ʒwɛ̃tyʁ	dʒuntura	xuntuɾa	ʒũŋtuɾɐ	juŋkturam	ʒuɛtuɾra	ʒuɛtuɾaa	ʒuɛtuɾɐa	ʒuutuɾra	ʒuutuɾaa
-	ʒwɛ̃dʁ	dʒundʒere	xuŋxeɾ	ʒũŋʒiɹ	jʊŋɡɛrɛ	ʒuŋdʁʒere	ʒuŋdʁɾere	ʒuŋdʁɹere	ʒuŋddʒere	ʒuŋddɾere
ʒunjor	ʒynjɔʁ	dʒuniore	xunjoɾ	ʒuniuɹ	junɪorɛm	ʒunjorre	ʒunjoʁre	ʒunjoore	ʒunjoɾre	ʒunjoɹre
jenupər	ʒənjɛvʁ	dʒinepro	xunipeɾo	ʒunipɨɾʊ	junɪpɛrʊm	ʒunipəro	ʒunipəɾo	ʒunipvro	ʒunipvɾo	ʒunippro
ʒuɾəmɨnt	-	dʒuramento	xuɾamɛnto	ʒuɾɐmeɪŋtʊ	juramɛntʊm	ʒuɾəmɨntto	ʒuɾəmɨnttʊ	ʒuɾəmmntto	ʒuɾəmmnttʊ	ʒuɾəmɛntto
-	-	dʒurativo	-	-	juratiwʊm	dʒurativo				
ʒuɾətor	ʒyʁœʁ	dʒuratore	xuɾaðoɾ	ʒuɾɐdoɹ	juratorɛm	ʒuɾətorre	ʒuɾətoore	ʒuɾətoɾre	ʒuɾətoɹre	ʒuɾəʁorre
-	-	dʒuratɔrio	-	-	juratorɪʊm	dʒuratɔrio				
-	-	dʒurekonsulto	-	-	jurɛkonsʊltʊm	dʒurekonsulto				
-	-	dʒuridiko	-	-	jurɪdɪkʊm	dʒuridiko				
-	-	dʒurisprudɛnte	-	-	jurɪsprudɛntɛm	dʒurisprudɛnte				
-	ʒyʁispʁydɑ̃s	dʒurisprudɛntsa	-	-	jurɪsprudɛntɪam	ʒyʁispʁydɑsntsa	ʒyʁispʁydɑɛntsa	ʒyʁispʁyddsntsa	ʒyʁispʁyddɛntsa	ʒyʁispʁyuɑsntsa
-	-	dʒure	xuɾo	ʒuɾʊ	ɪus	duɾre	duɾoe	duɾʊe	xuɾre	xuɾoe
ʒustifikatsje	ʒystifikasjɔ̃	dʒustifikatsione	xustifikaθjon	ʒuʃtifikɐsɐ̃ʊ̃	justɪfɪkatɪonɛm	ʒustifikasjjeone	ʒustifikasjjione	ʒustifikasjjnone	ʒustifikasjɔeone	ʒustifikasjɔione
-	-	dʒustifikatore	xustifikaðoɾ	-	justɪfɪkatorɛm	dʒustifikatore	dʒustifikatɾre	dʒustifikaoore	dʒustifikaoɾre	dʒustifikðtore
ʒust	ʒyst	dʒusto	xusto	ʒuʃtʊ	justʊm	ʒustto	ʒustoo	ʒustʊo	ʒuutto	ʒuutoo
ʒunkə	-	dʒovɛnka	-	-	jʊwɛŋkam	ʒunkənka	ʒunkɛnka	ʒunvənka	ʒunvɛnka	ʒuokənka
ʒunk	-	dʒovɛnko	xuβɛnko	ʒuveɪŋkʊ	jʊwɛŋkʊm	ʒunkɛnko	ʒunkɛnkʊ	ʒunkɛkko	ʒunkɛkkʊ	ʒunkɛŋko
-	-	dʒoventu	xuβentud	ʒuveɪŋtudɨ	jʊwɛntutɛm	duoeentudɨ	duoeettudɨ	duoeeŋtudɨ	duoenntudɨ	duoenttudɨ
-	-	dʒovare	-	-	jʊwarɛ	dʒovare				
-	-	-	-	ʒɐnɛlɐ	janʊam	ʒɐnɛlɐ				
-	-	-	kalɛndas	kɐleɪŋdɐʃ	kalɛndas	kalɛndasʃ	kalɛndaɐʃ	kalɛnddsʃ	kalɛnddɐʃ	kalɛnŋasʃ
-	-	labjale	-	-	labɪalɛm	labjale				
avalanʃə	-	valaŋɡa	aβalantʃa	ɐvɐlɐ̃ŋʃɨ	labinam	avalanʃəa	avalanʃʃa	avalanʃɨa	avalanaəa	avalanaʃa
labɔaɾe	labœʁ	lavɔro	laβoɾ	lɐvoɹ	laborɛm	labɔaɾe	labɔaoe	labɔʁɾe	labɔʁoe	labɔrɾe
-	labuʁœʁ	lavoratore	laβɾaðoɾ	lɐvɹɐdoɹ	laboratorɛm	lavuʁœoore	lavuʁœoɾre	lavuʁœoɹre	lavuʁaoore	lavuʁaoɾre
-	laboʁatwaʁ	laboratɔrio	laβoɾatoɾjo	lɐbuɾɐtɔɾjʊ	laboratorɪʊm	laboɾatɔɾjo	laboɾatɔɾjʊ	laboɾatɔɾʁo	laboɾatɔɾio	laboɾatɔajo
-	labuʁe	lavorare	laβoɾaɾ	lɐbuɾaɹ	laborarɛ	labuɾare	labuɾaɾe	labuɾaɹe	laboɾare	laboɾaɾe
-	lɛvʁ	labbro	laβɾo	labɹʊ	labrʊm	labʁro	labʁoo	labʁʊo	labbro	labboo
ləwɾuskə	-	lambruska	laβɾuska	lɐbɹuʃkɐ	labrʊskam	lawɾuskəa	lawɾuskka	lawɾuskaa	lawɾuskɐa	lamɾuskəa
-	laseʁe	latʃerare	laθeɾaɾ	lɐsɨɾaɹ	lakɛrarɛ	laseɾaare	laseɾaɾre	laseɾaɹre	laseɾeare	laseɾeɾre
-	-	-	-	lɐsinjɐ	lakɪnɪam	lɐsinjɐ				
lakrimə	laʁm	lakrima	laɣɾima	laɡɹimɐ	lakrɪmam	lakrima	lakrimə	lakrimɐ	lakmima	lakɾima
-	-	lakrimatsione	lakɾimaθjon	-	lakrɪmatɪonɛm	lakrimatsione	lakrimatsinne	lakrimatsoone	lakrimatsonne	lakrimatjione
ləkrima	laʁmwaje	lakrimare	lakɾimaɾ	lɐkɹimaɹ	lakrɪmarɛ	lakrimaee	lakrimare	lakrimaɾe	lakrimaɹe	lakmimaee
ləkrimos	-	lakrimozo	lakɾimoso	lɐkɹimozʊ	lakrɪmosʊm	lakrimoso	lakrimozo	lakrimosʊ	lakrimozʊ	lakɾimoso
ləptar	lɛtje	lattaio	letʃeɾo	leɪteɪɾʊ	laktarɪʊm	letteroʊ	letteioʊ	letteɾoʊ	letteɪoʊ	letterɾʊ
-	lakte	lattɛo	lakteo	-	laktɛʊm	lakteo	laktɛo	latteo	lattɛo	
-	-	lattitʃino	laktiθinjo	lɐtisinjʊ	laktɪkinɪʊm	lattitʃino	lattitʃijo	lattitʃiʊo	lattitʃnno	lattitʃnjo
-	lakte	lattare	laktaɾ	-	laktarɛ	laktare	laktaɾe	laktere	lakteɾe	lattare
-	-	lakustre	lakustɾe	lɐkuʃtɹɨ	lakʊstrɛm	lakustre	lakustɾe	lakustɹe	lakustrɨ	lakustɾɨ
-	ljɛs	letitsia	letiθja	-	laɪtɪtɪam	letitsia	letitsaa	letitjia	letitjaa	letiθsia
-	-	liɛto	leðo	ledʊ	laɪtʊm	leɛto	leɛoo	leɛʊo	leðto	leðoo
-	le	laiko	leɣo	leɪɡʊ	laɪkʊm	leiko	leikʊ	leioo	leioʊ	leiɡo
-	-	lama	lama	lɐ̃mɐ	lamam	lama	lamɐ	lɐma	lɐmɐ	
-	-	lambire	lambeɾ	lɐ̃mbeɹ	lambɛrɛ	lambere	lambeɾe	lambeɹe	lambire	lambiɾe
-	lamɑ̃te	lamentare	lamentaɾ	lɐmeɪŋtaɹ	lamɛntarɛ	lamentare	lamentarɹ	lamentaɾe	lamentaɾɹ	lamentaae
