ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
-	-	interpretare	-	-	ɪntɛrprɛtari
-	ɑ̃tʁəpwɛ̃dʁ	interpundʒere	-	-	ɪntɛrpʊŋɡɛrɛ
ɨntreɾupe	ɛ̃tɛʁɔ̃pʁ	interrompere	interumpiɾ	iŋtɨʁumpeɹ	ɪntɛrrʊmpɛrɛ
-	ɛ̃tɛʁypsjɔ̃	interrutsione	interupθjon	iŋtɨʁupsɐ̃ʊ̃	ɪntɛrrʊptɪonɛm
-	ɛ̃tɛʁvɑ̃sjɔ̃	-	inteɾβenθjon	iŋtɨɾəveɪŋsɐ̃ʊ̃	ɪntɛrwɛntɪonɛm
-	ɛ̃tɛʁvɛʁtiʁ	-	inteɾβeɾtiɾ	-	ɪntɛrwɛrtɛrɛ
-	-	-	intestinal	-	ɪntɛstinalɛm
-	ɛ̃timasjɔ̃	intimatsione	intimaθjon	iŋtimɐsɐ̃ʊ̃	ɪntɪmatɪonɛm
ɨntɔartʃe	-	-	-	-	ɪntɔrkwerɛ
-	ɛ̃tʁɛ̃sɛk	-	-	iŋtɹiŋsɨkʊ	ɪntrinsɛkʊm
introduktsie	ɛ̃tʁodyksjɔ̃	introdutsione	intɾoðukθjon	iŋtɹudusɐ̃ʊ̃	ɪntrodʊktɪonɛm
-	ɛ̃tʁɔi	intrɔito	intɾoɪto	eɪŋtɹudʊ	ɪntrɔɪtʊm
-	-	-	entɾemeteɾse	iŋtɹumɨteɹ	ɪntromɪttɛrɛ
-	ɑ̃tʁəʁɔ̃pʁ	-	-	-	ɪntrorʊmpɛrɛ
-	ɛ̃tʁɔspɛksjɔ̃	-	-	-	ɪntrospɪkɛrɛ
-	ɛ̃tyite	-	intwiɾ	-	ɪntʊeri
-	-	-	-	iŋtuɪtʊ	ɪntʊɪtʊm
-	-	inulto	inulto	-	ɪnʊltʊm
inundatsje	-	-	inundaθjon	inũŋdɐsɐ̃ʊ̃	ɪnʊndatɪonɛm
-	inɔ̃de	inondare	inundaɾ	inũŋdaɹ	ɪnʊndarɛ
-	-	inuzitato	-	inuzitadʊ	ɪnusɪtatʊm
-	ɛ̃valid	-	-	-	ɪnwalɪdʊm
inventor	ɛ̃vɑ̃tœʁ	inventore	imbentoɾ	iŋveɪŋtoɹ	ɪnwɛntorɛm
-	ɛ̃vɑ̃tʁis	inventritʃe	-	-	ɪnwɛntrikɛm
-	ɛ̃vɛʁtiʁ	invertire	imbeɾtiɾ	iŋvɨɾəteɹ	ɪnwɛrtɛrɛ
-	-	investiɡatsione	imbestiɣaθjon	iŋvɨʃtiɡɐsɐ̃ʊ̃	ɪnwɛstiɡatɪonɛm
-	ɛ̃vɛstiɡe	-	imbestiɣaɾ	-	ɪnwɛstiɡarɛ
ɨnveʃtʲ	ɛ̃vɛstiʁ	investire	imbestiɾ	iŋvɨʃtiɹ	ɪnwɛstirɛ
-	ɛ̃vetʁe	-	imbeteɾaɾ	-	ɪnwɛtɛrarɛ
-	-	invitto	imbikto	iŋvitʊ	ɪnwɪktʊm
invidje	ɑ̃vi	invidia	embiðja	iŋvidjɐ	ɪnwɪdɪam
invidjos	ɑ̃vjø	invidiozo	embiðjoso	iŋvɨʒozʊ	ɪnwɪdɪosʊm
-	-	-	-	iŋvidʊ	ɪnwɪdʊm
ɨnveɡea	-	invidʒilare	imbixilaɾ	-	ɪnwɪɡɪlarɛ
invitatsje	-	invitatsione	imbitaθjon	iŋvitɐsɐ̃ʊ̃	ɪnwɪtatɪonɛm
invita	-	invitare	imbitaɾ	iŋvitaɹ	ɪnwitarɛ
ɨnvɔalbe	-	involdʒere	embolβeɾ	eɪŋvulveɹ	ɪnwɔlwɛrɛ
-	-	dʒokozo	-	-	jɔkosʊm
-	-	-	-	ʒuɡɹɑl	jɔkʊlarɛm
ɨns	-	esso	eso	isʊ	ɪpsʊm
-	iʁ	ira	iɾa	iɾɐ	iram
-	-	irakondia	iɾakundja	-	irakʊndɪam
-	-	irakondo	iɾakundo	-	irakʊndʊm
-	iʁasibl	iraʃibile	iɾasθiβle	-	iraskɪbɪlɛm
-	-	irato	-	iɾadʊ	iratʊm
iɾeɡular	iʁeɡylje	irreɡolare	ireɣulaɾ	iʁɨɡulaɹ	ɪrreɡʊlarɛm
-	-	irrekwjeto	-	-	ɪrrɛkwɪetʊm
-	iʁiɡe	irriɡare	iriɣaɾ	-	ɪrrɪɡarɛ
iɾita	-	-	iritaɾ	iʁitaɹ	ɪrritarɛ
-	-	irroɡare	iroɣaɾ	-	ɪrrɔɡarɛ
-	iʁɔ̃pʁ	irrompere	irumpiɾ	iʁumpeɹ	ɪrrʊmpɛrɛ
əst	-	ɛsto	esto	iʃtʊ	ɪstʊm
italjan	italjɛ̃	italiano	italjano	itɐliɐ̃nʊ	italɪanʊm
-	-	iter	-	-	ɪtɛr
-	iteʁasjɔ̃	iteratsione	iteɾaθjon	itɨɾɐsɐ̃ʊ̃	ɪtɛratɪonɛm
iteɾa	iteʁe	iterare	iteɾaɾ	itɨɾaɹ	ɪtɛrarɛ
-	itineʁɛʁ	itinerario	itineɾaɾjo	itinɨɾaɾjʊ	ɪtɪnɛrarɪʊm
-	-	dʒuba	-	ʒubɐ	jʊbam
-	-	dʒubbato	-	-	jʊbatʊm
-	ʒybilasjɔ̃	-	-	-	jubɪlatɪonɛm
-	ʒybile	dʒubilare	xuβilaɾ	ʒubilaɹ	jubɪlarɛ
-	-	dʒokondita	xokundiðad	ʒukũŋdidadɨ	jukʊndɪtatɛm
-	-	dʒokondo	xokundo	ʒukũŋdʊ	jukʊndʊm
-	ʒyif	dʒudɛo	xuðio	ʒudeʊ	judaɪʊm
-	-	dʒudikabile	-	-	judɪkabɪlɛm
-	-	dʒudikativo	-	-	judɪkatiwʊm
ʒudekətor	-	dʒudikatore	xuθɣaðoɾ	ʒuwɡɐdoɹ	judɪkatorɛm
-	-	dʒudikatɔrio	-	-	judɪkatorɪʊm
-	-	dʒudikatritʃe	-	-	judɪkatrikɛm
-	-	dʒudikato	-	-	judɪkatʊm
-	ʒydisjɛl	dʒuditsjale	xuðiθjal	ʒudisiɑl	judɪkɪalɛm
ʒuditʃjar	ʒydisjɛʁ	dʒuditsjario	xuðiθjaɾjo	ʒudisiaɾjʊ	judɪkɪarɪʊm
ʒudets	-	dʒuditsio	xwiθjo	ʒuizʊ	judɪkɪʊm
-	ʒyɡal	-	-	ʒuɡɑl	jʊɡalɛm
juɡər	ʒyʒɛʁ	judʒero	-	-	juɡɛrʊm
ʒuŋɡja	ʒyɡyle	dʒuɡulare	ʝuɣulaɾ	-	jʊɡʊlarɛ
-	-	dʒuɡolo	-	-	jʊɡʊlʊm
-	-	dʒuliano	-	-	julɪanʊm
-	ʒymɑ̃	dʒumento	xumɛnto	ʒumeɪŋtʊ	jumɛntʊm
-	ʒwɛ̃tyʁ	dʒuntura	xuntuɾa	ʒũŋtuɾɐ	juŋkturam
-	ʒwɛ̃dʁ	dʒundʒere	xuŋxeɾ	ʒũŋʒiɹ	jʊŋɡɛrɛ
ʒunjor	ʒynjɔʁ	dʒuniore	xunjoɾ	ʒuniuɹ	junɪorɛm
jenupər	ʒənjɛvʁ	dʒinepro	xunipeɾo	ʒunipɨɾʊ	junɪpɛrʊm
ʒuɾəmɨnt	-	dʒuramento	xuɾamɛnto	ʒuɾɐmeɪŋtʊ	juramɛntʊm
-	-	dʒurativo	-	-	juratiwʊm
ʒuɾətor	ʒyʁœʁ	dʒuratore	xuɾaðoɾ	ʒuɾɐdoɹ	juratorɛm
-	-	dʒuratɔrio	-	-	juratorɪʊm
-	-	dʒurekonsulto	-	-	jurɛkonsʊltʊm
-	-	dʒuridiko	-	-	jurɪdɪkʊm
-	-	dʒurisprudɛnte	-	-	jurɪsprudɛntɛm
-	ʒyʁispʁydɑ̃s	dʒurisprudɛntsa	-	-	jurɪsprudɛntɪam
-	-	dʒure	xuɾo	ʒuɾʊ	ɪus
ʒustifikatsje	ʒystifikasjɔ̃	dʒustifikatsione	xustifikaθjon	ʒuʃtifikɐsɐ̃ʊ̃	justɪfɪkatɪonɛm
-	-	dʒustifikatore	xustifikaðoɾ	-	justɪfɪkatorɛm
ʒust	ʒyst	dʒusto	xusto	ʒuʃtʊ	justʊm
ʒunkə	-	dʒovɛnka	-	-	jʊwɛŋkam
ʒunk	-	dʒovɛnko	xuβɛnko	ʒuveɪŋkʊ	jʊwɛŋkʊm
-	-	dʒoventu	xuβentud	ʒuveɪŋtudɨ	jʊwɛntutɛm
-	-	dʒovare	-	-	jʊwarɛ
-	-	-	-	ʒɐnɛlɐ	janʊam
-	-	-	kalɛndas	kɐleɪŋdɐʃ	kalɛndas
-	-	labjale	-	-	labɪalɛm
avalanʃə	-	valaŋɡa	aβalantʃa	ɐvɐlɐ̃ŋʃɨ	labinam
labɔaɾe	labœʁ	lavɔro	laβoɾ	lɐvoɹ	laborɛm
-	labuʁœʁ	lavoratore	laβɾaðoɾ	lɐvɹɐdoɹ	laboratorɛm
-	laboʁatwaʁ	laboratɔrio	laβoɾatoɾjo	lɐbuɾɐtɔɾjʊ	laboratorɪʊm
-	labuʁe	lavorare	laβoɾaɾ	lɐbuɾaɹ	laborarɛ
-	lɛvʁ	labbro	laβɾo	labɹʊ	labrʊm
ləwɾuskə	-	lambruska	laβɾuska	lɐbɹuʃkɐ	labrʊskam
-	laseʁe	latʃerare	laθeɾaɾ	lɐsɨɾaɹ	lakɛrarɛ
-	-	-	-	lɐsinjɐ	lakɪnɪam
lakrimə	laʁm	lakrima	laɣɾima	laɡɹimɐ	lakrɪmam
-	-	lakrimatsione	lakɾimaθjon	-	lakrɪmatɪonɛm
ləkrima	laʁmwaje	lakrimare	lakɾimaɾ	lɐkɹimaɹ	lakrɪmarɛ
ləkrimos	-	lakrimozo	lakɾimoso	lɐkɹimozʊ	lakrɪmosʊm
ləptar	lɛtje	lattaio	letʃeɾo	leɪteɪɾʊ	laktarɪʊm
-	lakte	lattɛo	lakteo	-	laktɛʊm
-	-	lattitʃino	laktiθinjo	lɐtisinjʊ	laktɪkinɪʊm
-	lakte	lattare	laktaɾ	-	laktarɛ
-	-	lakustre	lakustɾe	lɐkuʃtɹɨ	lakʊstrɛm
-	ljɛs	letitsia	letiθja	-	laɪtɪtɪam
-	-	liɛto	leðo	ledʊ	laɪtʊm
-	le	laiko	leɣo	leɪɡʊ	laɪkʊm
-	-	lama	lama	lɐ̃mɐ	lamam
-	-	lambire	lambeɾ	lɐ̃mbeɹ	lambɛrɛ
-	lamɑ̃te	lamentare	lamentaɾ	lɐmeɪŋtaɹ	lamɛntarɛ
-	-	lamento	lamɛnto	lɐmeɪŋtʊ	lamɛntʊm
-	lɑ̃p	lampada	lampaɾa	-	lampadɛm
-	-	lantʃare	lanθeaɾ	lɐ̃ŋsiaɹ	laŋkɛarɛ
-	-	-	lanθwela	-	laŋkɛɔlam
-	lɑ̃sje	-	lanθeɾo	lɐ̃ŋseɪɾʊ	laŋkɪarɪʊm
lindik	-	-	-	-	landikam
lɨntʃed	lɑ̃ɡid	laŋɡwido	laŋɡiðo	lɐ̃ŋɡwidʊ	laŋɡwɪdʊm
liŋɡɔaɾe	lɑ̃ɡœʁ	laŋɡwore	laŋɡwoɾ	lɐ̃ŋɡoɹ	laŋɡworɛm
lɨnos	lɛnø	lanozo	lanoso	lɐnozʊ	lanosʊm
lanternə	-	-	linteɾna	-	lantɛrnam
-	lapidɛʁ	-	-	-	lapɪdarɪʊm
-	lapidasjɔ̃	lapidatsione	-	-	lapɪdatɪonɛm
lepəda	lapide	lapidare	lapiðaɾ	-	lapɪdarɛ
-	-	lapillo	-	-	lapɪllʊm
lespede	-	lapide	-	-	lapɪdɛm
-	laʁ	-	laɾðo	-	lardʊm
-	-	-	-	lɐɾəʒisɐ̃ʊ̃	larɡitɪonɛm
larɡ	-	larɡo	-	-	larɡʊm
-	-	larva	laɾβa	-	larwam
-	-	lazaɲɲa	-	-	lasanʊm
-	lasityd	-	-	-	lassɪtudɪnɛm
-	-	latʃʃaia	laθaɾ	lɐsaɹ	lassarɛ
-	la-	lasso	lasso	-	lassʊm
-	-	-	laðɾiʎo	lɐdɹiʎʊ	latɛrkʊlʊm
-	-	lateritsio	-	-	latɛrikɪʊm
latifundiw	-	latifondo	latifundjo	lɐtifũŋdjʊ	latɪfʊndɪʊm
-	-	latitare	-	-	latɪtarɛ
-	latityd	latitudine	latitud	lɐtitudɨ	latɪtudɪnɛm
lətra	ladʁ	latrare	laðɾaɾ	lɐdɹaɹ	latronɛm
lat	le	lato	laðo	ladʊ	latʊm
-	-	-	-	laʊdɐsɐ̃ʊ̃	laʊdatɪonɛm
ləudətor	-	lodatore	-	-	laʊdatorɛm
-	loʁea	laureato	-	-	laʊrɛatʊm
-	-	laurotʃerazo	laʊɾoθeɾaso	-	laʊrɔkɛrasʊm
laur	-	lauro	laʊɾel	luwɾeɪɾʊ	laʊrʊm
laudə	los	lɔde	laʊðe	laʊdɐ	laʊdɛm
-	-	latomia	-	-	laʊtʊmɪam
-	-	lavatsione	laβaθjon	lɐvɐsɐ̃ʊ̃	lawatɪonɛm
-	lavwaʁ	lavatojo	laβatoɾjo	lɐvɐtɔɾjʊ	lawatorɪʊm
-	lave	-	-	-	lawɛrɛm
laks	laʃ	lasso	laxa	-	laksʊm
lektikə	-	lettiɡa	letʃiɣa	-	lɛktikam
lektor	lɛktœʁ	lettore	lektoɾ	leɪtoɹ	lektorɛm
-	litjɛʁ	-	-	liteɪɾɐ	lɛktʊarɪʊm
-	li	lɛtto	letʃo	leɪtʊ	lektʊm
-	-	-	-	ledʊ	lɛdonɛm
leal	leɡal	leale	leal	liɑl	leɡalɛm
-	leɡa	leɡato	-	leɡadʊ	leɡatʊm
-	liʁ	lɛdʒʒere	leeɾ	leɹ	lɛɡɛrɛ
-	-	leɡulɛio	-	leɡuleʒʊ	leɡʊlejʊm
-	lɛm	lɛmma	lema	-	lɛmma
lin	-	lɛne	lene	-	lenɛm
-	-	-	leniðad	-	lenɪtatɛm
lent	lɑ̃	lɛnto	lɛnto	leɪŋtʊ	lɛntʊm
-	-	leonato	-	-	lɛonatʊm
leopard	leopaʁ	leopardo	leopaɾðo	-	lɛɔpardʊm
-	-	lebbra	lepɾa	lɛpɹɐ	lɛpram
-	-	leprozo	lepɾoso	-	lɛprosʊm
-	leviʒe	leviɡare	leβiɣaɾ	-	lɛwɪɡarɛ
ledʒe	lwa	ledʒʒe	leɪ	leɪ	leɡɛm
nivel	nivo	livɛllo	niβel	nivɛl	libɛllam
libelulə	libɛlyl	libɛllula	liβelula	libɛlulɐ	libɛllʊlam
-	libɛl	-	liβelo	libɛlʊ	lɪbɛllʊm
liber	livʁ	libro	liβɾo	livɹʊ	libɛrʊm
-	libeʁalite	liberalita	liβeɾaliðad	libɨɾɐlidadɨ	libɛralɪtatɛm
libeɾatsje	libeʁasjɔ̃	liberatsione	liβeɾaθjon	livɹɐsɐ̃ʊ̃	libɛratɪonɛm
-	libeʁatœʁ	liberatore	liβɾaðoɾ	livɹɐdoɹ	libɛratorɛm
-	libido	libido	liβiðo	-	lɪbidɪnɛm
-	-	libare	liβaɾ	-	libarɛ
librar	libʁɛʁ	libraio	liβɾeɾo	livɹeɪɾʊ	lɪbrarɪʊm
-	libʁasjɔ̃	-	liβɾaθjon	-	libratɪonɛm
-	lwaziʁ	-	-	lɐzeɹ	lɪkerɛ
-	liʃɛn	-	liken	likeɪŋ	likʰena
-	liktœʁ	littore	liktoɾ	-	liktorɛm
-	ljɛ̃	-	-	-	lɪenɛm
-	ljɛ̃	leɡame	-	-	lɪɡamɛn
leɡəmɨnt	liɡamɑ̃	leɡamento	liɣamɛnto	liɡɐmeɪŋtʊ	lɪɡamɛntʊm
-	ljɛzɔ̃	liɡatsione	liɣaθjon	liɡɐsɐ̃ʊ̃	lɪɡatɪonɛm
lemnar	lɛnje	-	leɲeɾo	leɲeɪɾʊ	lɪŋnarɪʊm
-	-	-	leɲaðoɾ	leɲɐdoɹ	lɪŋnatorɛm
-	-	liɲeo	-	-	lɪŋnɛʊm
-	-	-	leɲaɾ	lɨɲaɹ	lɪŋnari
-	-	liɡustro	-	-	lɪɡʊstrʊm
-	lim	lima	lima	limɐ	limam
-	limas	limatʃʃa	limaθa	leʒmɐ	limakɛm
-	-	limine	limen	-	limɛn
-	-	limitare	lindaɾ	liŋdaɹ	limɪtarɛ
-	-	limitrofo	limitɾofe	limitɹufɨ	limɪtrɔpʰʊm
ima	lime	limare	limaɾ	limaɹ	limarɛ
imos	-	limozo	limoso	limozʊ	limosʊm
limpede	lɛ̃pid	limpido	limpjo	limpʊ	lɪmpɪdʊm
im	-	limo	limo	limʊ	limʊm
inar	-	-	lineɾo	liɲeɪɾʊ	linarɪʊm
linje	liɲ	linea	linea	liɲɐ	linɛam
-	lineam	-	lineamɛnto	-	linɛamɛntʊm
-	-	lineare	lineaɾ	-	linɛarɛ
-	lɛ̃ʒ	lino	lineo	liniʊ	linɛʊm
liŋdʒe	-	-	-	-	lɪŋɡɛrɛ
liŋɡuɾə	-	liŋɡula	-	-	lɪŋɡʊlam
luntre	-	-	-	-	lɪntrɛm
-	-	-	liɛnθo	-	lɪntɛʊm
-	-	likwame	-	-	lɪkwamɛn
-	-	lite	lid	lidɨ	litɛm
-	-	litiɡare	litiɣaɾ	litiɡaɹ	litɪɡarɛ
-	-	-	litaɾ	litaɹ	lɪtarɛ
liteɾə	lɛtʁ	lɛttera	letɾa	letɹɐ	lɪttɛram
-	lityʁʒi	liturdʒia	lituɾxja	lituɾəʒiɐ	liturɡɪam
-	-	-	liβoɾ	-	liworɛm
lokal	lokal	lokale	luɣaɾ	luɡaɹ	lɔkalɛm
-	lwaje	-	-	-	lɔkarɪʊm
lokatsje	lokasjɔ̃	lokatsione	lokaθjon	lukɐsɐ̃ʊ̃	lɔkatɪonɛm
-	-	lotʃɛllo	luθiʎo	-	lɔkɛllʊm
-	lwe	lokare	loɣaɾ	-	lɔkarɛ
-	-	-	-	lɔkulʊ	lɔkʊlʊm
-	lokysjɔ̃	lokutsione	-	-	lɔkutɪonɛm
-	lokytœʁ	-	lokutoɾ	lukutoɹ	lɔkutorɛm
-	-	ledʒʒio	-	-	lɔɡeʊm
-	-	loɡomakia	-	-	lɔɡɔmakʰɪam
-	-	-	-	lulɐ	loliɡɪnɛm
-	-	lɔʎo	xojo	ʒoɪʊ	lɔlɪʊm
-	-	londʒɛvo	loŋxeβo	luŋʒɛvʊ	lɔŋɡaɪwʊm
-	lɔ̃ɡanimite	loŋɡanimita	loŋɡanimiðad	luŋɡɐnimidadɨ	lɔŋɡanɪmɪtatɛm
-	-	londʒinkwita	loŋxinkiðad	luŋʒiŋkidadɨ	lɔŋɡɪŋkwɪtatɛm
-	lɔ̃ʒityd	londʒitudine	-	luŋʒitudɨ	lɔŋɡɪtudɪnɛm
-	-	-	lokwaθiðad	-	lɔkwakɪtatɛm
lokvatʃe	lokas	lokwatʃe	lokwaθ	lukwaʃ	lɔkwakɛm
loɾikə	-	lɔrika	loɾiɣa	luɾiɡɐ	lorikam
-	-	-	-	lɔɾʊ	lorʊm
-	lybʁisite	lubritʃita	-	-	lubrɪkɪtatɛm
luneka	-	lubrikare	luβɾikaɾ	lubɹikaɹ	lubrɪkarɛ
-	lybʁik	lubriko	luβɾiko	lubɹikʊ	lubrɪkʊm
lukanikə	-	luɡaniɡa	-	-	lukanɪkam
lutʃernə	lyzɛʁn	lutʃɛrna	luθeɾna	luzɛɾənɐ	lʊkɛrnam
lutʃed	lysid	lutʃido	luθjo	luzjʊ	lukɪdʊm
lutʃifer	lysife	lutʃifero	luθifeɾo	lusifɨɾʊ	lukɪfɛrʊm
-	-	lutʃʃo	luθjo	-	lukɪʊm
lukra	-	lukrare	lukɾaɾ	lukɹaɹ	lʊkrari
lukru	lykʁ	lukro	loɣɾo	lɔɡɹʊ	lʊkrʊm
lupta	lyte	lottare	lutʃaɾ	lutaɹ	lʊktari
-	-	lutto	luto	lutʊ	luktʊm
-	-	-	lukuβɾaθjon	lukubɹɐsɐ̃ʊ̃	lukʊbratɪonɛm
lukra	-	-	lukuβɾaɾ	lubɹiɡaɹ	lukʊbrarɛ
-	-	lukulɛnto	-	-	lukʊlɛntʊm
-	-	lukumone	-	-	lʊkʊmonɛm
-	-	luɡano	-	-	lukʊm
-	-	ludibrio	luðiβɾio	-	ludibrɪʊm
-	-	-	luiɾ	-	ludɛrɛ
-	lɔ̃b	lombo	lomo	lombʊ	lʊmbʊm
lumɨnaɾe	lyminɛʁ	luminaria	luminaɾja	luminaɾjɐ	lumɪnarɛ
lumina	lymine	luminare	luminaɾ	luminaɹ	lumɪnarɛ
luminos	lyminø	luminozo	luminoso	luminozʊ	lumɪnosʊm
-	lynɛʁ	lunare	lunaɾ	luaɹ	lunarɛm
-	lynɛzɔ̃	lunatsione	-	-	lunatɪonɛm
-	lynyl	lunula	-	-	lunʊlam
-	luv	lupa	loβa	lobɐ	lʊpam
-	lypanaʁ	lupanare	lupanaɾ	lupɐnaɹ	lʊpanar
lupin	lypɛ̃	-	lupino	lupinʊ	lʊpinʊm
-	luʁ	lordo	-	ludɹʊ	lurɪdʊm
-	-	uziɲɔlo	ruiseɲoɾ	ʁuwʃinɔl	lʊskɪnɪam
-	luʃ	losko	lusko	luʃkʊ	lʊskʊm
-	lystʁe	lustrare	lustɾaɾ	-	lʊstrarɛ
-	-	lustro	lustɾo	luʃtɹʊ	lʊstrʊm
-	-	-	loθa	lowsɐ	lutɛʊm
lutos	-	lotozo	loðoso	ludozʊ	lʊtosʊm
lutrə	lutʁ	lontra	lutɾia	loŋtɹɐ	lʊtram
lut	ly	lɔto	loðo	lodʊ	lʊtʊm
luks	lyks	luks	luks	luks	lukɛm
-	-	-	luksaɾ	-	luksarɛ
-	lyksyʁ	lussuria	luxuɾja	luʃuɾjɐ	lʊksʊrɪam
-	-	-	-	luʃuɾiozʊ	lʊksʊrɪosʊm
links	ɔ̃s	lintʃe	linθe	liŋsɨ	lyŋkɛm
-	liʁik	liriko	liɾiko	liɾikʊ	lyrɪkʊm
-	-	lirista	-	-	lyrɪsten
mətʃelar	-	matʃellaio	-	-	makɛllarɪʊm
mətʃel	-	matʃɛllo	maθelo	-	makɛllʊm
-	mɛzjɛʁ	-	-	-	makɛrɪam
mətʃina	maʃine	-	makinaɾ	mɐkinaɹ	makʰɪnari
-	-	mattare	mataɾ	mɐtaɹ	maktarɛ
-	-	makkia	-	-	makʊlam
makula	makyle	makkjare	mantʃaɾ	mɐ̃ŋʃaɹ	makʊlarɛ
-	makylø	makkiozo	mantʃoso	-	makʊlosʊm
-	-	madido	-	-	madɪdʊm
-	-	madore	-	-	madorɛm
-	-	miɲano	-	-	maɪnɪanʊm
-	-	mɛsto	mesto	mɛʃtʊ	maɪstʊm
-	maʒik	madʒiko	maxiko	maʒikʊ	maɡɪkʊm
-	-	maɲate	-	mɐɡnatɨ	maŋnatɛm
-	-	maɲɛzio	maɡnesjo	mɐɡnɛzjʊ	maŋnesɪʊm
-	-	maɲitudo	maɡnitud	-	maŋnɪtudɪnɛm
-	-	maɲɲo	maɲo	mɐ̃ɲʊ	maŋnʊm
-	maʒ	maɡo	maɣo	maɡʊ	maɡʊm
-	-	majaleliɡurian	-	-	majalɛm
-	maʒɛste	maesta	maxestad	mɐʒɨʃtadɨ	majɛstatɛm
-	modiʁ	maledire	malðeθiɾ	mɑldizeɹ	malɛdikɛrɛ
-	malediksjɔ̃	-	malðiθjon	mɑldisɐ̃ʊ̃	malɛdɪktɪonɛm
-	malfɛʁ	malfare	malaθeɾ	-	malɛfakɛrɛ
-	malfɛtœʁ	malfattore	maletʃoɾ	mɑlfeɪtoɹ	malɛfaktorɛm
-	malefis	-	-	-	malɛfɪkɪʊm
meɾesɨn	-	-	-	-	malɛsanʊm
-	malɛ̃	maliɲɲo	maliɡno	mɐliɡnʊ	malɪŋnʊm
-	-	-	-	milɡɹadɐ	malɔɡranatʊm
-	malt	malta	-	-	maltʰam
-	mal	male	mal	mɑl	malʊm
-	-	kotoɲɲa	melokoton	-	malʊmkɔtonɪʊm
mər	-	mɛla	mela	-	malʊm
nalbə	mov	malva	malβa	mɑlvɐ	malwam
-	mamɛl	mammɛlla	mamila	mɐmilɐ	mamɪllam
-	-	mammona	-	-	mammonam
-	-	manfano	-	-	mampʰʊrɛm
-	-	-	manθeβo	mɐ̃ŋsebʊ	maŋkɪpɛm
-	mɑ̃sipasjɔ̃	-	manθipjo	mɐ̃ŋsipjʊ	maŋkɪpɪʊm
mɨnk	mɑ̃k	-	manko	mɐ̃ŋkʊ	maŋkʊm
-	mɑ̃de	mandare	mandaɾ	mɐ̃ŋdaɹ	mandarɛ
-	-	mandria	-	-	mandram
mɨnka	mɑ̃ʒe	mandʒare	maŋxaɾ	mɐ̃ŋʒaɹ	mandukarɛ
mɨnea	manwaʁ	rimanɛre	maniɾ	-	manerɛ
mɨnekə	mɑ̃ʃ	manika	maŋɡa	mɐ̃ŋɡɐ	manɪkam
mɨneka	-	-	-	-	manikarɛ
-	-	manifestare	-	mɐnifɨʃtaɹ	manɪfɛstarɛ
-	manifɛst	manifɛsto	manifjesto	-	manɪfɛstʊm
-	manipyl	manipolo	manipulo	-	manɪpʊlʊm
-	-	-	manaɾ	mɐnaɹ	manarɛ
-	mɛzɔ̃	mansione	mansjon	mɐ̃ŋsɐ̃ʊ̃	mansɪonɛm
-	mɑ̃syetyd	mansuetudine	manseðumbɾe	mɐ̃ŋsuɨtudɨ	mansʊetudɪnɛm
-	matɛ̃	-	-	mɐ̃ŋsʊ	mansʊetʊm
-	-	mantitʃe	-	-	mantɪkam
mɨner	manjɛʁ	mannaia	maneɾo	mɐneɪɾʊ	manʊarɪʊm
-	-	-	manaða	-	manʊatam
-	-	-	-	mɐnubiɑl	manʊbɪalɛm
-	-	manubrio	manuβɾio	-	manubrɪʊm
-	-	-	manumitiɾ	-	manumɪttɛrɛ
mentsine	mɛ̃tniʁ	mantenɛre	manteneɾ	mɐ̃ŋteɹ	manʊtɛnerɛ
-	-	mappa	mapa	mapɐ	mappam
mɨrtʃed	-	martʃo	-	maɾəsidʊ	markɪdʊm
-	-	-	matʃo	-	markʊlʊm
-	-	marɡerita	maɾɣaɾita	-	marɡaritam
-	maʁisk	mariska	-	-	marɪskam
-	maʁital	maritale	maɾiðal	mɐɾidɑl	maritalɛm
məɾita	maʁje	maritare	maɾiðaɾ	mɐɾidaɹ	maritarɛ
məɾit	maʁi	marito	maɾiðo	mɐɾidʊ	maritʊm
-	maʁ	marra	-	-	marram
-	-	marrubio	-	-	marrʊbɪʊm
-	-	marsupio	maɾsupjo	-	marsupɪʊm
-	maʁto	martɛllo	maɾtiʎo	mɐɾətɛlʊ	martɛllʊm
maɾe	-	-	-	-	marɛm
maskulin	maskylɛ̃	maskolino	maskulino	mɐʃkulinʊ	maskʊlinʊm
maskul	mal	maskio	matʃo	maʃʊ	maskʊlʊm
masə	mas	massa	masa	masɐ	massam
mesteakən	-	-	-	-	mastɪkʰɪnʊm
mətase	matas	matassa	maðexa	mɐdeɪʃɐ	mataksam
-	-	-	mateɾnal	-	matɛrnalɛm
-	matɛʁnite	maternita	mateɾniðad	-	matɛrnɪtatɛm
matern	matɛʁnɛl	matɛrno	mateɾno	mɐtɛɾənʊ	matɛrnʊm
-	-	madriɡale	-	-	matrikalɛm
-	matʁisid	-	matɾiθiða	mɐtɹisidɐ	matrɪkidam
-	-	-	matɾiθiðjo	mɐtɹisidjʊ	matrɪkidɪʊm
-	matʁikyl	matrikola	matɾikula	mɐtɹikulɐ	matrikʊlam
