final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
irsuto	-	iʁsyt	irsuto	iɾsuto	-	hɪrsutʊm
iʁodel	-	iʁɔ̃dɛl	-	-	ɐ̃ŋduɾiɲɐ	hɪrʊndɪnɛm
isbaniko	hispanik	ispanik	ispaniko	ispaniko	iʃpɐ̃nikʊ	hɪspanɪkʊm
ispano	-	-	-	ispano	-	hɪspanʊm
iʃðɹiɐʊ	-	istʁiɔ̃	istrione	istɾion	iʃtɹiɐ̃ʊ̃	hɪstrɪonɛm
uʤeɾənʊ	-	-	odjɛrno	-	udiɛɾənʊ	hɔdɪɛrnʊm
omizid	-	omisid	-	omiθiða	-	hɔmɪkidam
omiðʃiðjale	-	-	omitʃidjale	-	-	hɔmɪkidalɛm
omiðʃiʤo	-	-	omitʃidio	omiθiðjo	-	hɔmɪkidɪʊm
onesta	-	ɔnɛtte	onesta	-	-	hɔnɛstatɛm
onɔaɾe	onɔaɾe	ɔnœʁ	onore	onoɾ	unoɹ	hɔnorɛm
unuɾavɛl	-	-	onorabile	onoɾaβle	unuɾavɛl	hɔnorabɪlɛm
onoʁɛʁ	-	onoʁɛʁ	onorario	-	-	hɔnorarɪʊm
onorifitʃentsa	-	-	onorifitʃɛntsa	-	-	hɔnorɪfɪkɛntɪam
onorifiko	-	onoʁifik	onorifiko	-	-	hɔnorɪfɪkʊm
ɔʁʒ	orz	ɔʁʒ	ɔɾdzo	oɾðjo	-	hɔrdɛʊm
oɾizont	oɾizont	oʁizɔ̃	oridzzonte	oɾiθonte	uɾizoŋtɨ	hɔrɪzzɔnta
orrendo	-	-	orrɛndo	orɛndo	uʁeɪŋdʊ	hɔrrɛndʊm
uɾɨ	uɾɨ	-	-	oreɾ	-	hɔrrerɛ
oʁiʊ	-	-	-	oreo	oʁiʊ	hɔrrɛʊm
oʁidʊ	urdɔaɾe	ɔʁdyʁ	ɔrrido	oriðo	ɔʁidʊ	hɔrrɪdʊm
oɾifik	oɾifik	oʁifik	orrifiko	-	-	hɔrrɪfɪkʊm
orribilatsione	-	-	orripilatsione	-	-	hɔrrɪpɪlatɪonɛm
uɾəðɨlɐʊ	-	-	-	-	uɾətɨlɐ̃ʊ̃	hɔrtʊlanʊm
orto	-	-	ɔrto	weɾto	oɾətʊ	hɔrtʊm
et	ɔaspete	ot	-	wesped	ɔʃpɨdɨ	hɔspɪtɛm
ospedal	ospital	-	ospedale	ospital	uʃpitɑl	hɔspɪtalɛ
ospeðaðoɾ	-	-	-	ospeðaðoɾ	-	hɔspɪtatorɛm
ospitsio	ospitʃiw	ɔspis	ospitsio	ospiθjo	uʃpisjʊ	hɔspɪtɪʊm
ospitare	ospəta	-	ospitare	-	uʃpɨdaɹ	hɔspɪtarɛ
ospeðaɾ	-	-	-	ospeðaɾ	uʃpɨdaɹ	hɔspɪtari
hostje	hostje	ɔsti	ɔstia	ostja	ɔʃtjɐ	hɔstɪam
ostsl	ostil	ɔstil	ostile	ostil	uʃtil	hɔstilɛm
id	umed	ymid	umido	umeðo	ũmidʊ	humɪdʊm
iliatsione	-	-	umiliatsione	umiʎaθjon	umiʎɐsɐ̃ʊ̃	hʊmɪlɪatɪonɛm
ymilje	-	ymilje	umiliare	umiʎaɾ	-	hʊmɪlɪarɛ
ymys	-	ymys	-	umus	-	hʊmʊm
iβɾiðo	-	ibʁid	ibrido	iβɾiðo	ibɹidʊ	hybrɪdam
idʁaʁʒiʁ	-	idʁaʁʒiʁ	-	-	-	hydrarɡyrʊm
ino	-	imn	inno	imno	-	hymnʊm
ibetro	-	-	ipɛtro	-	-	hypaɪtʰrʊm
ibnoʤk	-	ipnotik	ipnɔtiko	ipnotiko	ipnɔtikʊ	hypnotɪkʊm
iboðʒeo	-	-	ipodʒɛo	-	-	hypɔɡaɪʊm
ibodeka	-	ipotɛk	ipotɛka	ipoteka	iputɛkɐ	hypɔtʰekam
izzobo	-	-	issopo	-	-	hysopʊm
ðʒettare	-	ʒəte	dʒettare	etʃaɾ	ʒeɪtaɹ	jaktarɛ
ðʒetto	-	ʒɛ	dʒɛtto	etʃo	ʒeɪtʊ	jaktʊm
ðʒanikolo	-	-	dʒanikolo	-	-	janɪkʊlʊm
jaspide	-	ʒasp	jaspide	xaspe	ʒaʃpɨ	jaspɪdɛm
ibeks	ibeks	-	-	iβiθe	-	ibɪkɛm
ibis	ibis	ibi	ibis	iβis	ibiʃ	ibɛmibɪn
idɑʤɣ	-	idɑ̃tik	idɛntiko	-	ideɪŋtikʊ	idɛntɪkʊm
idenʤdadɨ	-	-	-	iðentiðad	identidadɨ	idɛntɪtatɛm
idoladʁ	-	idolatʁ	-	-	-	idolɔlatram
iðoneita	-	-	idoneita	iðoneɪðad	-	ɪdonɛɪtatɛm
idoneo	-	idwan	idoneo	iðoneo	idɔniʊ	ɪdonɛʊm
ʤðʒuno	aʒun	ʒøːn	didʒuno	ajuno	ʒɨʒũŋ	jejunɪʊm
aʒuna	aʒuna	ʒøne	didʒunare	ajunaɾ	ʒeʒuaɹ	jejunarɛ
ʝantaɾ	-	-	-	ʝantaɾ	ʒɐ̃ŋtaɹ	jɛntarɛ
iɲaro	-	iɲaʁ	iɲaro	iɡnaɾo	-	ɪŋnarʊm
iɲɛ	-	iɲe	iɲɛo	iɡneo	-	ɪŋnɛʊm
iɲɲe	-	-	iɲɲe	-	-	ɪŋnɛm
iɲobile	-	iɲɔbl	iɲɔbile	innoβle	iɡnɔbil	ɪŋnobɪlɛm
iɲominia	iɡnominje	iɲomini	iɲominia	iɡnominja	iɡnuminjɐ	ɪŋnomɪnɪam
iɲorare	iɡnoɾa	iɲoʁe	iɲorare	iɡnoɾaɾ	iɡnuɾaɹ	ɪŋnorarɛ
iɲoʃere	-	-	iɲoʃere	iɲoθeɾ	-	ɪŋnoskɛrɛ
iɡnotʊ	-	-	-	-	iɡnɔtʊ	iŋnotʊm
dʒada	je	il	dʒada	xaðe	ʒadɨ	ilɛ
elðʃe	-	jøz	ɛltʃe	enθina	ɐziɲeɪɾɐ	ilɪkɛm
ilezʊ	-	-	-	ileso	ilezʊ	ɪllaɪsʊm
iʎatsione	-	ilasjɔ̃	illatsione	ilaθjon	ilɐsɐ̃ʊ̃	ɪllatɪonɛm
ilativ	-	ilativ	-	ilatiβo	ilɐtivʊ	ɪllatiwʊm
ilesɨβɹɐʃ	-	-	-	-	ilɛsɨbɹɐʃ	ɪllɛkɛbram
ileɡal	ileɡal	ileɡal	illeɡale	ileɣal	ilɨɡɑl	ɪlleɡalɛm
ʎi	-	-	li	aʎi	ɐli	ɪllʊŋk
ɑlje	-	ɑ̃lje	-	-	eɪŋliaɹ	ɪllɪɡarɛ
iluðiɾ	-	-	-	iluðiɾ	iludiɹ	ɪlludɛrɛ
iʎune	-	-	illune	-	-	ɪllunɛm
iluzje	iluzje	ilyzjɔ̃	illuzione	ilusjon	-	ɪllusɪonɛm
iʎðɾe	-	ilystʁ	illustre	iʎustɾe	-	ɪllustrɛm
imɐʒinɐʤvʊ	-	imaʒinatif	immadʒinativo	imaxinatiβo	imɐʒinɐtivʊ	ɪmaɡɪnatɪwʊm
immadʒinozo	-	-	immadʒinozo	-	-	ɪmaɡɪnosʊm
imadʒine	imadʒine	imaʒ	immadʒine	imaxen	imaʒeɪŋ	ɪmaɡɪnɛm
imbɨzilidadɨ	-	ɛ̃besilite	imbetʃillita	imbeθiliðad	imbɨsilidadɨ	ɪmbekɪllɪtatɛm
imbeðʃiʎe	-	ɛ̃besil	imbetʃille	imbeθil	imbɨsil	ɪmbekɪllʊm
imberbe	-	ɛ̃bɛʁb	imbɛrbe	imbeɾβe	imbɛɾəbɨ	ɪmbɛrbɛm
imbevere	ɨmbiba	ɛ̃bibe	imbevere	embeβeɾ	eɪmbɨbeɹ	ɪmbɪbɛrɛ
imbrifero	-	-	imbrifero	-	-	ɪmbrɪfɛrʊm
imbwiɾ	-	-	-	imbwiɾ	imbuiɹ	ɪmbʊɛrɛ
imitatœʁ	-	imitatœʁ	-	-	-	ɪmɪtatorɛm
imide	-	imite	-	remeðaɾ	ɐʁɨmɨdaɹ	ɪmɪtari
immakolato	imakulat	-	immakolato	inmakulaðo	-	ɪmmakʊlatʊm
immarðʃeʃibile	-	immaʁsɛsibl	immartʃeʃibile	inmaɾθesiβle	imɐɾəsɨsivɛl	ɪmmarkɛskɪbɪlɛm
imɐduɾidadɨ	-	immatyʁite	immaturita	-	imɐtuɾidadɨ	ɪmmaturɪtatɛm
immaturo	-	-	immaturo	inmaðuɾo	imɐtuɾʊ	ɪmmaturʊm
immeðja	-	immedja	immedjato	inmeðjato	imɨdiatʊ	ɪmmɛdɪatʊm
imɨɾəʒiɹ	-	immɛʁʒe	immɛrdʒere	inmeɾxiɾ	imɨɾəʒiɹ	ɪmmɛrɡɛrɛ
inmeɾito	-	-	-	inmeɾito	-	ɪmmɛrɪtʊm
inminende	-	-	imminɛnte	inminɛnte	-	ɪmmɪnerɛ
inmiskwiɾse	-	immise	-	inmiskwiɾse	-	ɪmmɪskerɛ
immolatsione	-	immolasjɔ̃	immolatsione	inmolaθjon	imulɐsɐ̃ʊ̃	ɪmmɔlatɪonɛm
imulaɹ	imola	immole	immolare	inmolaɾ	imulaɹ	ɪmmɔlarɛ
monetssa	-	-	monnetssa	-	-	ɪmmʊndɪtɪam
immune	-	immœ̃	immune	inmune	imunɨ	ɪmmunɛm
immyabl	-	immyabl	-	-	-	ɪmmutabɪlɛm
inmutaɾ	-	immyte	-	inmutaɾ	imutaɹ	ɪmmutarɛ
ebeʁ	-	ɛ̃pɛʁ	-	-	impɐɹ	ɪmparɛm
ɨmpərtsi	ɨmpərtsʲi	ɛ̃paʁtiʁ	impartire	impaɾtiɾ	-	ɪmpartirɛ
impavido	-	ɛ̃pavid	impavido	impaβiðo	impavidʊ	ɪmpawɪdʊm
imbeʤmento	impediment	-	impedimento	impeðimɛnto	impɨdimeɪŋtʊ	ɪmpɛdimɛntʊm
imbeʤre	-	-	impedire	empeθeɾ	eɪmpɨseɹ	ɪmpɛdirɛ
impɨliɹ	-	-	impɛllere	impeleɾ	impɨliɹ	ɪmpɛllɛrɛ
impendeɾ	-	-	-	impendeɾ	-	ɪmpɛndɛrɛ
imbɨɾɐtoɾjʊ	-	ɛ̃peʁatwaʁ	-	impeɾatoɾjo	impɨɾɐtɔɾjʊ	ɪmpɛratorɪʊm
imperatritʃe	-	ɛ̃peʁatʁis	imperatritʃe	empeɾatɾiθ	impɨɾɐtɹiʃ	ɪmpɛratrikɛm
imbeɾθeʤβle	-	ɛ̃pɛʁsɛptibl	-	impeɾθepptiβle	-	ɪmpɛrkɛptɪbɪlɛm
impeɾjal	impeɾjal	ɛ̃peʁjal	imperiale	impeɾjal	impɨɾiɑl	ɪmpɛrɪalɛm
imperiozo	-	ɛ̃peʁjø	imperiozo	impeɾjoso	impɨɾiozʊ	ɪmpɛrɪosʊm
impeɾiθja	-	ɛ̃peʁiti	-	impeɾiθja	impɨɾisjɐ	ɪmpɛritɪam
impreito	-	-	imperito	-	-	ɪmpɛritʊm
impeɾjo	impeɾiw	ɑ̃piʁ	impɛro	impeɾjo	impɛɾjʊ	ɪmpɛrɪʊm
imperare	-	-	imperare	impeɾaɾ	impɨɾaɹ	ɪmpɛrarɛ
imbeʤðʒine	petʃiŋdʒine	-	impetidʒine	impetiɣo	impɨtiɡʊ	ɪmpɛtiɡɪnɛm
ɨmpətra	ɨmpətra	-	impetrare	impetɾaɾ	impɨtɹaɹ	ɪmpɛtrarɛ
impeto	-	-	impeto	impetu	impɨtʊ	ɪmpɛtʊm
ɨmpiŋðʒe	ɨmpiŋdʒe	-	impindʒere	-	-	ɪmpɪŋɡɛrɛ
impio	-	ɛ̃pi	empio	impio	impjʊ	ɪmpɪʊm
implemento	-	-	-	implemɛnto	-	ɪmplemɛntʊm
implika	implika	ɛ̃plike	implikare	implikaɾ	implikaɹ	ɪmplɪkarɛ
imploɾaɾ	-	ɛ̃ploʁe	implorare	imploɾaɾ	impluɾaɹ	ɪmplorarɛ
impluvio	-	-	impluvio	-	-	ɪmplʊwɪʊm
imbuɾədunidadɨ	-	ɛ̃pɔʁtynite	importunita	impoɾtuniðad	impuɾətunidadɨ	ɪmpɔrtunɪtatɛm
imbuɾəðunʊ	-	-	-	-	impuɾətunʊ	ɪmpɔrtunʊm
ebozizjo	-	ɛ̃pozisjɔ̃	impozitsione	imposiθjon	impuzisɐ̃ʊ̃	ɪmpɔsɪtɪonɛm
imbrekare	-	-	imprekare	impɾekaɾ	impɹɨkaɹ	ɪmprɛkari
ebʁobazjo	-	ɛ̃pʁobasjɔ̃	-	-	-	ɪmprɔbatɪonɛm
imbɾoβiðað	-	ɛ̃pʁobite	-	impɾoβiðad	-	ɪmprɔbɪtatɛm
imbɹubaɹ	-	-	-	impɾoβaɾ	impɹubaɹ	ɪmprɔbarɛ
ebʁob	-	ɛ̃pʁɔb	-	impɾoβo	impɹubʊ	ɪmprɔbʊm
epyðɑ	-	ɛ̃pydɑ̃	-	impuðɛnte	-	ɪmpʊdɛntɛm
imbuʤɣo	-	-	impudiko	-	-	ɪmpʊdikʊm
impuɡnaɾ	-	-	impuɲare	impuɡnaɾ	-	ɪmpʊŋnarɛ
epylsjo	-	ɛ̃pylsjɔ̃	impulsione	impulsjon	impuwsɐ̃ʊ̃	ɪmpʊlsɪonɛm
ebylsif	impulsiv	ɛ̃pylsif	impulsivo	impulsiβo	impuwsivʊ	ɪmpʊlsiwʊm
impuls	impuls	-	impulso	impulso	impuwsʊ	ɪmpʊlsʊm
inalbare	-	-	inalbare	-	-	ɪnalbarɛ
inaʊðito	-	-	inaudito	inaʊðito	inaʊditʊ	ɪnaʊditʊm
eɪŋɣɐnɨzeɹ	-	-	-	enkaneθeɾ	eɪŋkɐnɨseɹ	ɪŋkaneskɛrɛ
ɨnɣɨnta	ɨnkɨnta	ɑ̃ʃɑ̃te	inkantare	enkantaɾ	eɪŋkɐ̃ŋtaɹ	ɪŋkantarɛ
inkabaθ	-	-	-	inkapaθ	iŋkɐpaʃ	ɪŋkapakɛm
eɣaʁnasjo	-	ɛ̃kaʁnasjɔ̃	inkarnatsione	enkaɾnaθjon	eɪŋkɐɾənɐsɐ̃ʊ̃	ɪŋkarnatɪonɛm
eɣaʁne	-	ɛ̃kaʁne	inkarnare	enkaɾnaɾ	eɪŋkɐɾənaɹ	ɪŋkarnarɛ
inɣoto	-	-	inkauto	inkaʊto	iŋkaʊtʊ	ɪŋkaʊtʊm
indʃedere	-	-	intʃedere	-	-	ɪŋkedɛrɛ
indʃendjario	-	ɛ̃sɑ̃djɛʁ	intʃendjario	inθendjaɾjo	iŋseɪŋdiaɾjʊ	ɪŋkɛndɪarɪʊm
inðʃenʤw	intʃendiw	ɛ̃sɑ̃di	intʃendio	inθɛndjo	iŋseɪŋdjʊ	ɪŋkɛndɪʊm
ɨndʃinde	ɨntʃinde	-	intʃɛndere	enθendeɾ	-	ɪŋkɛndɛrɛ
ɨndʃins	ɨntʃins	ɑ̃sɑ̃	intʃɛnso	inθjɛnso	iŋseɪŋsʊ	ɪŋkensʊm
iŋzeɪŋʤvʊ	-	-	-	-	iŋseɪŋtivʊ	ɪŋkɛntiwʊm
esebsjo	-	ɛ̃sɛpsjɔ̃	-	-	-	ɪŋkɛptɪonɛm
esetsf	-	ɛ̃sɛptif	-	-	-	ɪŋkɛptiwʊm
enθetaɾ	-	-	intʃettare	enθetaɾ	eɪŋsɨtaɹ	ɪŋkɛptarɛ
indʃidere	-	-	intʃidere	inθiðiɾ	iŋsidiɹ	ɪŋkɪdɛrɛ
esineʁe	-	ɛ̃sineʁe	-	-	-	ɪŋkɪnɛrarɛ
inθitaθjon	-	ɛ̃sitasjɔ̃	intʃitatsione	inθitaθjon	iŋsitɐsɐ̃ʊ̃	ɪŋkɪtatɪonɛm
iŋklitʊ	-	-	inklito	inklito	iŋklitʊ	ɪŋklɪtʊm
ɑɣloʁ	-	ɑ̃klɔʁ	-	inkluiɾ	iŋkluiɹ	ɪŋkludɛrɛ
iŋkulɐ	-	-	-	inkola	iŋkulɐ	ɪŋkɔlam
iŋɣolu	-	-	-	inkolume	iŋkɔlumɨ	ɪŋkɔlʊmɛm
iŋɣudaɹ	-	ɛ̃kɔmode	-	inkomoðaɾ	iŋkumudaɹ	ɪŋkɔmmɔdarɛ
inɣompedend	inkompetent	ɛ̃kɔ̃petɑ̃	inkompetɛnte	inkompetɛnte	iŋkumpɨteɪŋtɨ	ɪŋkɔmpɛtɛntɛm
inɣonɣo	-	-	inkonkusso	inkonkuso	-	ɪŋkɔŋkʊssʊm
inɣonseɡwende	-	-	inkonseɡwɛnte	-	-	ɪŋkonsɛkwɛntɛm
inɣostante	-	ɛ̃kɔ̃stɑ̃	inkostante	inkonstante	iŋkuŋstɐ̃ŋtɨ	ɪŋkonstantɛm
inɣonvenjent	inkonvenjent	-	inkonveniɛnte	inkombenjɛnte	iŋkuŋvenieɪŋtɨ	ɪŋkɔnwɛnɪɛntɛm
iŋkɹɐzaɹ	-	-	-	-	iŋkɹɐsaɹ	ɪŋkrassarɛ
inɣreʤβil	inkredibil	ɛ̃kʁedibl	inkredibile	inkɾeiβle	iŋkɹivɛl	ɪŋkredɪbɪlɛm
inɣremento	inkrement	-	inkremento	inkɾemɛnt	-	ɪŋkremɛntʊm
inɣɾebaɾ	-	-	-	inkɾepaɾ	-	ɪŋkrɛparɛ
inɣuβaɾ	-	-	-	inkuβaɾ	-	ɪŋkʊbarɛ
inɣubo	-	ɛ̃kyb	inkubo	inkuβo	iŋkubʊ	ɪŋkʊbʊm
inɣulɣare	-	ɛ̃kylke	inkulkare	inkulkaɾ	iŋkuwkaɹ	ɪŋkʊlkarɛ
eɣobe	-	ɛ̃kɔ̃be	inkombere	inkumbiɾ	-	ɪŋkʊmbɛrɛ
inɣuriozo	-	-	inkuriozo	-	-	ɪŋkurɪosʊm
ɨnɣuɾa	ɨnkuɾa	ɑ̃kuʁiʁ	inkɔrrere	inkuriɾ	iŋkuʁeɹ	ɪŋkʊrrɛrɛ
enɣoɾβaɾ	-	-	inkurvare	enkoɾβaɾ	eɪŋkuɾəvaɹ	ɪŋkʊrwarɛ
inɣuʤne	-	ɑ̃klym	inkudine	ʝunke	iŋkudɨ	ɪŋkudɛm
indaɡare	-	-	indaɡare	indaɣaɾ	-	ɪndaɡarɛ
indefinido	-	-	indefinito	indefiniðo	iŋdɨfinidʊ	ɪndefinitʊm
iŋdeɪnɨ	-	ɛ̃dɛmn	-	-	iŋdeɪmnɨ	ɪndɛmnɛm
iŋʤɣɐðoɹ	-	-	-	-	iŋdikɐdoɹ	ɪndɪkatorɛm
iŋʤðzjo	-	ɛ̃dis	iŋditsjo	indiθjo	iŋdisjʊ	ɪndɪkɪʊm
endedʃa	-	-	-	endetʃa	-	ɪndɪktʊm
inʤðʒenðza	-	ɛ̃diʒɑ̃s	indidʒɛntsa	-	-	ɪndɪɡɛntɪam
inʤðʒere	-	-	indidʒere	-	-	ɪndɪɡerɛ
inʤɲadzione	-	ɛ̃diɲasjɔ̃	indiɲatsione	indiɡnaθjon	iŋdiɡnɐsɐ̃ʊ̃	ɪndɪŋnatɪonɛm
indeɲita	indiɡnitate	ɛ̃diɲite	indeɲita	indiɡniðad	iŋdiɡnidadɨ	ɪndɪŋnɪtatɛm
inʤɡnaɾ	indiɡna	ɛ̃diɲe	indiɲare	indiɡnaɾ	iŋdiɡnaɹ	ɪndɪŋnari
inʤɡno	-	ɛ̃diɲ	indeɲɲo	indiɡno	iŋdiɡnʊ	ɪndiŋnʊm
inʤzɣredzione	-	ɛ̃diskʁesjɔ̃	indiskretsione	indiskɾeθjon	iŋdiʃkɹisɐ̃ʊ̃	ɪndɪskretɪonɛm
iŋðulɨ	-	-	indole	indole	iŋdulɨ	ɪndɔlɛm
induldʒere	-	-	induldʒere	-	-	ɪndʊlɡerɛ
enduɾeθeɾ	-	ɑ̃dyʁsiʁ	-	enduɾeθeɾ	eɪŋduɾɨseɹ	ɪndureskɛrɛ
ɨnduɾa	ɨnduɾa	ɑ̃dyʁe	indurare	enduɾaɾ	eɪŋduɾaɹ	ɪndurarɛ
iŋðuzjʊ	-	-	-	-	iŋduzjʊ	ɪndusɪʊm
ineβɾiaɾ	-	inəbʁie	inebriare	ineβɾiaɾ	-	ɪnebrɪarɛ
ineksoɾaβle	-	-	-	ineksoɾaβle	-	ɪnɛksorabɪlɛm
imfando	-	-	-	imfando	iŋfɐ̃ŋdʊ	infandʊm
ɑfɑz	-	ɑ̃fɑ̃s	infantsia	imfanθja	iŋfɐ̃ŋsjɐ	infantɪam
efeɣzjo	-	ɛ̃fɛksjɔ̃	infetsione	imfekθjon	iŋfɛsɐ̃ʊ̃	ɪnfɛktɪonɛm
efett	-	ɛ̃fɛkt	-	-	-	infɛktʊm
imfeliθ	-	-	infelitʃe	imfeliθ	iŋfɨliʃ	infelikɛm
iŋfɛɾjɐʃ	-	-	-	-	iŋfɛɾjɐʃ	infɛrɪam
inferibile	-	-	inferibile	-	-	infɛrɪbɪlɛm
inferiore	-	-	inferiore	-	-	infɛrɪorɛm
imfeɾiɾ	-	ɛ̃feʁe	inferire	imfeɾiɾ	iŋfɨɾiɹ	infɛrrɛ
iŋfɨɾioɹ	-	ɛ̃feʁjœʁ	infero	-	iŋfɨɾioɹ	infɛrʊm
infestare	-	ɛ̃fɛste	infestare	imfestaɾ	-	infɛstarɛ
enjesto	-	-	-	enjesto	-	infɛstʊm
efedde	-	ɛ̃fɛkte	-	imfektaɾ	-	infɪkɛrɛ
infidʒʒere	ɨnfidʒe	-	infidʒʒere	-	-	infiɡɛrɛ
infim	infim	ɛ̃fim	infimo	imfimo	iŋfimʊ	infɪmʊm
emfeɾmeðad	-	-	infermita	emfeɾmeðad	eɪŋfɨɾəmidadɨ	infɪrmɪtatɛm
ɛfiʁme	-	ɛ̃fiʁme	infirmare	-	-	infɪrmarɛ
emfeɾmo	-	ɛ̃fiʁm	infermo	emfeɾmo	eɪŋfeɾəmʊ	infɪrmʊm
infjammatsione	-	ɛ̃flamasjɔ̃	infjammatsione	imflamaθjon	iŋflɐmɐsɐ̃ʊ̃	inflammatɪonɛm
inʎatsje	inflatsje	ɛ̃flasjɔ̃	inflatsione	intʃaθon	iŋʃɐsɐ̃ʊ̃	inflatɪonɛm
iŋʎɨɣzɐʊ	-	ɛ̃flɛksjɔ̃	inflessione	imfleksjon	iŋflɨksɐ̃ʊ̃	inflɛktɪonɛm
inʎeddere	-	-	inflettere	-	-	inflɛktɛrɛ
imʎiɣθjon	-	ɛ̃fliksjɔ̃	inflitsione	imflikθjon	iŋflisɐ̃ʊ̃	ɪnflɪktɪonɛm
eʎiʒe	-	ɛ̃fliʒe	-	imflixiɾ	-	infliɡɛrɛ
iŋʎuiɹ	-	ɛ̃flye	influire	imfluiɾ	iŋfluiɹ	inflʊɛrɛ
efoʁm	-	ɛ̃fɔʁm	informe	imfoɾme	-	informɛm
efoʁðyn	-	ɛ̃fɔʁtyn	-	imfoɾtunjo	-	infɔrtunɪʊm
ɨnfrɨna	ɨnfrɨna	-	infrenare	emfɾenaɾ	eɪŋfɹiaɹ	infrenarɛ
infrandʒere	ɨnfrɨŋdʒe	ɑ̃fʁɛ̃dʁ	infrandʒere	imfɾiŋxiɾ	iŋfɹiŋʒiɹ	infrɪŋɡɛrɛ
efoðʁ	-	ɛ̃fɔ̃dʁ	infondere	imfundiɾ	iŋfũŋdiɹ	infʊndɛrɛ
emfosɣaɾ	-	-	-	emfoskaɾ	-	infʊskarɛ
ɨŋðʒeməna	ɨŋdʒeməna	-	-	-	-	ɪŋɡɛmɪnarɛ
indʒenerare	-	ɑ̃ʒɑ̃dʁe	indʒenerare	eŋxendɾaɾ	eɪŋʒeɪŋdɹaɹ	ɪŋɡɛnɛrarɛ
ɛʒenjø	-	ɛ̃ʒenjø	-	iŋxenjoso	-	ɪŋɡɛnɪosʊm
ɑʒɛ	-	ɑ̃ʒɛ̃	indʒeɲɲo	eŋxeɲo	eɪŋʒeɲʊ	ɪŋɡɛnɪʊm
indʒerire	-	ɛ̃ʒeʁe	indʒerire	iŋxeɾiɾ	-	ɪŋɡɛrɛrɛ
iŋɡluβje	-	-	-	iŋɡluβje	-	ɪŋɡlʊwɪɛm
iŋɡrato	-	ɛ̃ɡʁa	iŋɡrato	iŋɡɾato	iŋɡɹatʊ	ɪŋɡratʊm
iŋɡwinə	iŋɡwinə	ɛn	inɡwine	iŋɡle	iŋɡwɐ	ɪŋɡwɛn
inɨɾiɹ	-	-	-	-	inɨɾiɹ	ɪnhaɪrerɛ
inalare	-	inale	inalare	inalaɾ	inɐlaɹ	ɪnhalarɛ
inanida	-	inymanite	inumanita	inumaniðad	inumɐnidadɨ	ɪnhumanɪtatɛm
iŋʒɨzɐʊ	inʒektsie	ɛ̃ʒɛksjɔ̃	injetsione	iɲekθjon	iŋʒɨsɐ̃ʊ̃	ɪnɪɛktɪonɛm
inimitʃitsia	-	-	inimitʃitsia	-	-	ɪnɪmikɪtɪam
inimikare	-	-	inimikare	-	-	ɪnɪmikarɛ
inikwo	-	inik	inikwo	inikwo	-	ɪnikwʊm
iniθjal	-	-	initsjale	iniθjal	inisiɑl	ɪnɪtɪalɛm
iniθjo	-	-	initsio	iniθjo	inisjʊ	ɪnɪtɪʊm
indʒuʤɣado	-	-	indʒudikato	-	-	ɪnɪudɪkatʊm
indʒuntsione	-	ɛ̃ʒɔ̃ksjɔ̃	indʒuntsione	-	-	ɪnɪʊŋktɪonɛm
inʒuɾje	inʒuɾje	ɛ̃ʒyʁ	indʒuria	iŋxuɾja	iŋʒuɾjɐ	ɪnɪurɪam
indʒuriatore	-	-	indʒuriatore	-	-	ɪnɪurɪatorɛm
indʒuriozo	-	ɛ̃ʒyʁjø	indʒuriozo	iŋxuɾjoso	iŋʒuɾiozʊ	ɪnɪurɪosʊm
iŋʒuʃdʊ	-	ɛ̃ʒyst	indʒusto	iŋxusto	iŋʒuʃtʊ	ɪnɪustʊm
inoɣuʊ	-	-	innɔkuo	inokwo	inɔkuʊ	ɪnnɔkʊʊm
inovatsione	inovatsje	-	innovatsione	innoβaθjon	inuvɐsɐ̃ʊ̃	ɪnnɔwatɪonɛm
inwiɾ	-	-	-	innwiɾ	-	ɪnnʊɛrɛ
inofizjø	-	inɔfisjø	-	-	-	ɪnɔffɪkɪosʊm
inopine	-	inopine	-	-	-	ɪnɔpinatʊm
inkwjetare	-	ɛ̃kjete	inkwjetare	inkjetaɾ	-	ɪŋkwɪetarɛ
iŋɣiɨðuðɨ	-	ɛ̃kjetyd	inkwjetudine	inkjetud	iŋkiɨtudɨ	ɪŋkwɪetudɪnɛm
eɣje	-	ɛ̃kjɛ	-	-	-	ɪŋkwɪetʊm
inɣwilinato	-	-	inkwilinato	-	-	ɪŋkwɪlinatʊm
inɣwilino	-	ɛ̃kilɛ̃	inkwilino	inkilino	iŋkilinʊ	ɪŋkwɪlinʊm
inɣwinare	-	-	inkwinare	inkinaɾ	iŋkinaɹ	ɪŋkwɪnarɛ
inɣjedere	-	ɑ̃keʁiʁ	inkjedere	inkiɾiɾ	iŋkiɾiɹ	ɪŋkwirɛrɛ
insanabile	-	-	insanabile	-	-	insanabɪlɛm
zɐɲɐ	-	-	-	-	sɐ̃ɲɐ	insanɪam
esan	-	ɛ̃san	insano	insano	iŋsɐ̃nʊ	insanʊm
iŋzieɪŋðɨ	-	-	-	-	iŋsieɪŋtɨ	inskɪɛntɛm
iŋzjeɪŋzjɐ	-	-	-	-	iŋsjeɪŋsjɐ	inskɪɛntɪam
iŋzizjɐ	-	-	-	-	iŋsisjɐ	inskitɪam
